Id	StoryName	DlgType	IntervalTime
1	story1	0	5
2	story2	0	5
3	story3	0	5
4	story4	0	5
5	story5	0	2
6	story6	0	2
7	story7	0	2
8	story8	0	2
9	story9	0	3
10	story10	0	2
11	story11	0	3
101001	npctalk01	0	5
101002	npctalk02	0	5
101003	npctalk03	0	5
101004	npctalk04	0	5
101005	npctalk05	0	5
100101	100101	0	5
100201	100201	0	13.5
101101	101101	0	26
101102	101102	0	7.5
101103	101103	0	16.5
101201	101201	0	17
101301	101301	0	6
101302	101302	0	3
101303	101303	0	5
101304	101304	0	7
101305	101305	0	7
101306	101306	0	7
101307	101307	0	5
101308	101308	0	4
101309	101309	0	2
101401	101401	0	21
101402	101402	0	3
101403	101403	0	12
101404	101404	0	10
101501	101501	0	12.8
101502	101502	0	4.5
101503	101503	0	14.3
101504	101504	0	12.5
101505	101505	0	4.5
101506	101506	0	13.5
101507	101507	0	2
101599	101599	0	3
101601	101601	0	12.1
101602	101602	0	6.5
101603	101603	0	11.8
101604	101604	0	2.5
101605	101605	0	3.6
101606	101606	0	8.9
101607	101607	0	2.5
101701	101701	0	10.5
101702	101702	0	2
101703	101703	0	2
101704	101704	0	3
101705	101705	0	7
101706	101706	0	30
101707	101707	0	5
101708	101708	0	7.5
101709	101709	0	20.5
101710	101710	0	10
101711	101711	0	5.5
101712	101712	0	5
101801	101801	0	9.5
101802	101802	0	9
101803	101803	0	17.5
101804	101804	0	16
101805	101805	0	30
101806	101806	0	3
101807	101807	0	9
101808	101808	0	12
101809	101809	0	15.5
101810	101810	0	1.5
102101	102101	0	5
102102	102102	0	5.5
102103	102103	0	4.5
102104	102104	0	11
102105	102105	0	4.5
102106	102106	0	24.5
102107	102107	0	1.3
102108	102108	0	6.8
102109	102109	0	6.8
102110	102110	0	2.5
102111	102111	0	2.5
102201	102201	0	17
102202	102202	0	7
102203	102203	0	2.5
102204	102204	0	9.5
102301	102301	0	10.8
102302	102302	0	26
102401	102401	0	6
102501	102501	0	3
102502	102502	0	10
102503	102503	0	2
102504	102504	0	7.8
102505	102505	0	2
102701	102701	0	20.5
102702	102702	0	2.5
102703	102703	0	8.5
102704	102704	0	7
102705	102705	0	2.5
102801	102801	0	3
102004	102004	0	5
102005	102005	0	5
