Id	TriggerLevelMini	TriggerLevelMax	TriggerSceneId	GroupId	TriggerUiId	ResetToGuideId	TargetChildPath	GuideUiPath	TargetChildIndex	NeedGuideDlg	AlwaysNeedGuideDlg	IsSpeakerAtLeft	Words	ScreenPosition	Rotate	Visible	Type	PreviousGuideId	LocalPosition	ChildNumber	ChildName	Scale
#0	"00T_MainCity = 0(主城),T_MissionPanel =1（任务）,T_SceneSelect =2（副本选择）, T_SceneIntroduce =3（副本介绍）,T_Equiment=4（装备）,T_EquimentInfo =5（装备信息）,T_SkillPanel =6（技能）,T_PartnerPanel=7（伙伴界面）,T_PartnerStrenthen=8（伙伴强化界面）,T_PartnerLiftUp =9（伙伴技能进阶）,T_Activity=10（活动）"""										是否每次显示对话框											
1	1	2	-1	1002	0	-1	MainCityUI(Clone)/UIPanel_1/UIAnchor-TopRight/Entrance-Mission			TRUE	FALSE	TRUE	跟随任务继续冒险吧	0.535|0.72	0|0|0	TRUE	1		15|-10|0			0.8|0.8|0.8
2	1	2	-1	1002	1	1	Container/Scroll View/Grid/0			FALSE	FALSE	TRUE	点击任务会前往对应副本，现在尝试一下吧。	0.2|0.36	30|0|20	FALSE	4		100|-30|0	0		
3	1	2	-1	1002	2	2	Scroll View/Grid/Chapter(Clone)/Scene1			FALSE	FALSE	TRUE	这里就是副本界面了...未来我们的冒险将由此展开，好激动的说。	0.3|0.44	30|0|20	FALSE	4		100|-30|0	0		
4	1	2	-1	1002	3	3	Button/challenge			FALSE	FALSE	TRUE	勇者大人，让我们开始战斗吧，我已经迫不及待了。	0.1|0.32	30|0|20	FALSE	1		100|-30|0			
5	2	3	-1	1003	0		MainCityUI(Clone)/UIPanel_1/UIAnchor-BottomRight/Entrance-Bottom/Entrance-Bottom/Entrance-Equipment			TRUE	FALSE	TRUE	这里可以更换装备	0.469|0.305			2	101				
6	2	3	-1	1003	4	5	PokeyContainer/EquipContainer/Left Scroll View/Grid		1	TRUE	FALSE	TRUE	点击更好的装备更换吧	0.523|0.456			100	101				
7	2	3	-1	1003	5	6	SpriteInlay			FALSE	FALSE	TRUE	比身上的装备好很多啊，那么马上更换吧。	0.12|0.24			2	101				
8	2	4	-1	1004	4		HeroEquip/Equipment		1	TRUE	FALSE	TRUE	即时更换装备，装备的等级依然会保留哦	0.254|0.128	0.1|0.2|0.3	FALSE	1		50|-40|0			
9	2	4	-1	1004	5	8	SpriteUpdate			FALSE	FALSE	TRUE	装备升级后更换装备依然会继承等级，所以有时间一定要来升级哦！	0.42|0.24	0.1|0.2|0.3	FALSE	1		50|-40|0			
10	3	5	-1	1005	0		MainCityUI(Clone)/UIPanel_1/UIAnchor-BottomRight/Entrance-Bottom/Entrance-Bottom/Entrance-Skill			TRUE	FALSE	TRUE	好像领悟了新技能，现在去看一下吧	0.469|0.305			2	103				
11	3	5	-1	1005	6	10	SkillStorage/ScrollView/Grid		3	FALSE	FALSE	TRUE	不同的技能有不同的作用，合理搭配才能更好的战胜敌人...当然这些勇者大人一定都知道的吧。	0.1|0.33	0|0|0	TRUE	1		15|-10|0			0.8|0.8|0.8
12	3	5	-1	1005	6	11	SkillInfo/02LevelUpInfo/bt			TRUE	FALSE	TRUE	升级技能后，技能的伤害会得到大幅提升	0|0.3	0.1|0.2|0.3	FALSE	4		50|-40|0	0		
13	7	15	1016	1007	0		MainCityUI(Clone)/UIPanel_1/UIAnchor-BottomRight/Entrance-Bottom/Entrance-Bottom/Entrance-Partner			TRUE	FALSE	TRUE	有新同伴加入我们的队伍，快去看看吧	0.469|0.305	0.1|0.2|0.3	FALSE	1		50|-40|0			
14	7	15	1016	1007	7	13	right/PartnerList/Scroll View/Grid		1	FALSE	FALSE	TRUE	点击对应的同伴就可以查看她的相关信息了，也没什么可看的嘛	0.32|0.46	0.1|0.2|0.3	FALSE	1		50|-40|0			
