ID	WindowName	WindowPath	OffsetLeft	OffsetRight	OffsetTop	OffsetBottom	IsExclusion	ShowType	SceneType	Group	IsDynamic
#副本场景分为PVP、PVE、远征3种（Offset***单位为像素，ShowType（1=加载并显示；0=加载隐藏；-1=不加载）  										同一组的相互排斥	
#（PVE：SceneType ==3）（PVP：SceneType ==4）（远征：SceneType ==5）（登录：SceneType ==0）（主城：SceneType ==1）											
1	FightUI	UI/FightUI/FightUI	-1	-1	75	-1	FALSE	1	3|4|5|6|7|8|9		
3	BossHealthBar	UI/BossHealthBar	-1	-1	0	80	FALSE	-1	3|4|5|6|7|8|9		
8	Hit	UI/Hit	-1	-1		-1	FALSE	-1	3|4|5|6|7|8|9		
9	Score	UI/Score	-1	-1		-1	FALSE	-1	3|4|5|6|7|8|9		
10	ChainKill	UI/ChainKill	-1	-1		-1	FALSE	-1	3|4|5|6|7|8|9		
11	EndShield	UI/EndShield	-1	-1		-1	FALSE	-1	3|4|5|6|7|8|9		
12	HeroChange	UI/HeroChange	-1	-1		-1	FALSE	-1	3|4|5|6|7|8|9		
13	SkillIcon	UI/SkillIcon	-1	-1		-1	FALSE	-1	3|4|5|6|7|8|9		
15	GunChange	UI/GunChange	-1	-1		-1	FALSE	-1	3|4|5|6|7|8|9		
16	StoryDlgBig	UI/StoryDlgBig	-1	-1	-1	300	FALSE	-1	3|4|5|6|7|8|9		
17	StoryDlgSmall	UI/StoryDlgSmall	-1	-1	-1	300	FALSE	-1	3|4|5|6|7|8|9		TRUE
18	CombatFalse	UI/CombatFalse/CombatFalse	-1	-1	-1	-1	TRUE	0	3|4|5|6|7|8|9		
19	VictoryPanel	UI/VictoryPanel/VictoryPanel	-1	250	-1	-1	TRUE	0	3|4|5|8|9		
20	CombatWin	UI/CombatWin/CombatWin	-1	-1	-1	-1	TRUE	0	3|4|5|8|9		
21	Dialog	UI/YesOrNot/Dialog	-1	-1	-1	-1	FALSE	-1	0|3|4|5|6|7|8|9		TRUE
22	CriticalDamage	UI/CriticalDamage	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
23	DamageForAddHero	UI/DamageForAddHero	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
24	DamageForCutHero	UI/DamageForCutHero	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
25	AttackEffect	UI/AttackEffect	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
26	MarsVictory	UI/Mars/MarsVictory	-1	-1	-1	-1	FALSE	0	4|5|6|7|8|9		
27	PVPTime	UI/PVPTime	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
28	NickName	UI/NickName	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
29	GainMoney	UI/GainMoney	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
31	PVPmyEnemy	UI/Pvp/PVPmyEnemy	-1	0	0	-1	FALSE	-1	3|4|5|6|7|8|9		
32	PVPmyHero	UI/Pvp/PVPmyHero	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
33	TreasureEnding	UI/cangbaotu/TreasureEnding	-1	-1	-1	-1	TRUE	0	3|4|5|6|7|8|9		
34	Sheild	UI/Dun	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
35	Connect	UI/YesOrNot/Connect	-1	-1	-1	-1	FALSE	0	3|4|5|6|7|8|9	2	
36	EnergyAdd	UI/EnergyAdd	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
37	EnergyCut	UI/EnergyCut	-1	-1	-1	-1	FALSE	-1	3|4|5|6|7|8|9		
