Id	Describe	ActionType	ActionParam	DisMin	DisMax	TargetHpMin	TargetHpMax	SelfHpMin	SelfHpMax	Cooldown	Weight	LastTime	CanInterrupt
#		类型： 1=stand;2=walk;3=run;4=skill;5=taunt；6=selfimpact；7=flee											"条件不满足时能否打断,默认无法打断"
4		4	-10001	0	10	0	1	0	1	0	1	10	FALSE
1		3	0	6	20	0	1	0	1	0	1	3	FALSE
2		2	0	2	6	0	1	0	1	0	1	3	FALSE
5		5	0	0	10	0	1	0	1	0	1	3	FALSE
3		6	88893	-1	-1	-1	-1	-1	-1	10	1	0	FALSE
6		6	30010003	-1	-1	-1	-1	-1	-1	10	1	0	FALSE
8		7	90							10	1	5	FALSE
7		6	88889	-1	-1	-1	-1	-1	-1	10	1	0	FALSE
10001		4	300403	-1	-4	-1	-1	-1	-1	10	1	0	FALSE
10002		4	300404	-1	-4	-1	-1	-1	-1	10	1	0	FALSE
101		4	-10002							1	1	10	FALSE
##斧头布鲁夫													
101101	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.68	FALSE
101111	攻击	4	300103	1.9	3	-1	-1	-1	-1	4	0.7	0.5	FALSE
101112	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.8	0.5	FALSE
101113	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.3	0.35	FALSE
101121	靠近攻击	4	300104	2.9	5	-1	-1	-1	-1	10	0.8	0.5	FALSE
101122	后退	7	0	2.9	5	-1	-1	-1	-1	1	0.4	0.68	FALSE
101123	前进	3	0	2.9	5	-1	-1	-1	-1	1	0.6	0.5	FALSE
101131	嘲讽	5	0	4.9	7	-1	-1	-1	-1	6	0.7	1.5	FALSE
101132	绕圈	7	90	4.9	7	-1	-1	-1	-1	12	0.5	1	FALSE
101133	绕圈	7	270	4.9	7	-1	-1	-1	-1	12	0.8	1.5	FALSE
101134	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.8	1	FALSE
101135	前进走	2	0	4.9	7	-1	-1	-1	-1	1	0.2	2	FALSE
101136	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.2	1	FALSE
101141	嘲讽	5	0	6.9	30	-1	-1	-1	-1	6	0.3	1.5	FALSE
101142	站立	5	0	6.9	30	-1	-1	-1	-1	1	0.5	0.5	FALSE
101143	前进	3	0	6.9	30	-1	-1	-1	-1	1	0.5	0.68	FALSE
101191	修补攻击	4	300126	0	30	-1	-1	-1	-1	1	0.1	1	FALSE
##长矛布鲁夫													
101201	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.68	FALSE
101211	嘲讽	5	0	1.9	3	-1	-1	-1	-1	4	0.2	0.5	FALSE
101212	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.2	0.5	FALSE
