Id	Describe	ActionList	MaxControlTime	MaxControlEvent	MaxControlEventPlus	GetUpEvent
10001	测试	8	1000	6|7|4		
10002		101				
101100	斧头布鲁夫	101101|101111|101112|101113|101121|101122|101123|101131|101132|101133|101134|101135|101136|101141|101142|101143				
101101	斧头布鲁夫精英	101191				
101200	掷矛布鲁夫	101201|101211|101212|101213|101221|101231|101232|101233|101234|101235|101236|101241|101242|101243|101244|101245|101246|101251|101252|101253|101291				
101201	掷矛布鲁夫精英	101292				
101300	布鲁夫精英怪	101301|101311|101312|101313|101321|101322|101323|101331|101332|101333|101334|101335|101341|101342|101343	2000	101398|101399|101397		
101400	纵火布鲁夫	101401|101411|101412|101413|101421|101431|101432|101433|101434|101435|101436|101441|101442|101443|101444|101445|101446|101451|101452|101453|101491				
101401	纵火布鲁夫精英	101492				
102100	利爪狼人精英	102101|102111|102112|102113|102114|102121|102122|102123|102131|102132|102133|102134|102135|102141|102142|102143				
102200	骨斧小狼人	102201|102211|102212|102213|102214|102221|102231|102232|102233|102234|102235|102236|102241|102242|102243|102244|102245|102246|102251|102252|102253|102291				
105100	钻地鼠人	105101|105111|105112|105113|105121|105122|105131|105132|105133|105134|105135|105136|105137|105141|105142|105143|105191|105192				
105200	瘟疫鼠人	105201|105211|105212|105213|105221|105222|105231|105232|105233|105234|105235|105236|105241|105242|105243				
105300	小鼠人	105301|105311|105312|105313|105321|105322|105331|105332|105333|105334|105335|105336|105341|105342|105343				
107100	独眼巨人大锤	107101|107111|107112|107113|107121|107122|107123|107131|107132|107133|107134|107135|107141|107142|107143				
107200	独眼巨人巨石	107201|107211|107212|107213|107214|107221|107231|107232|107233|107234|107235|107236|107241|107242|107243|107244|107245|107246|107251|107252|107253|107291				
199600	RA太阳神	199601|199602|199603|199604	1500	399992		
199700	人鱼王子伙伴	199701|199702|199703|199704|199705|199706|199707|199708|199709|199710	1500	399992		
199800	人鱼王子	199801|199802|199803|199804|199805|199806|199807	1500	399992		
199900	忽仑伙伴	199901|199902|199903|199904|199905|199906|199907|199908|199909|199910	1500	399992		
##						
## 200000-299999  王国军、托赖辟玛、伊娜、茱儿 						
##						
210001	伊娜（初遇伊娜）	210001|210002|210003|210004|210005|210006|210007|210008	2000	210101|210102	210103	
210002	伊娜	211001|211002|211003|211004|211005|211006|211007|211008|211009	3000	211101|211102	211103|211104|211105	
220001	茱儿	220001|220002|220003|220004|220005|220006|220007|220008|220009				
230001	达克尼斯	230001|230002|230003|230004|230005|230006|230007|230008				
231001	达克尼斯影分身	231001|231002|231003|231004|231005				
240001	紫衣女飞贼	240000|240001|240002|240003|240004|240005|240006|240007|240008|240009|240010|240011|240012				
250001	蕾咪	250001|250002|250003|250004|250005|250006|250007|250008|250009|250010|250011|250012|250013|250014|250015|250016|250017				
260001	莱卡翁	260001|260002|260003|260004|260005|260006|260007|260008				
