Id	Describe	SkillCombo
10001	测试	300103|300104
101200	疯狂矛	300105|300105|300105|300105
##RA太阳神		
199601	黄色1	380901|380904|380901|380904|380909
199602	黄色2	380901|380904|380904|380904|380909
199603	红色1	380902|380907|380911
199604	红色2	380902|380907|380907|380907|380911
199605	蓝色1	380903|380905|380910
199606	蓝色2	380903|380905|380905|380905|380910
##人鱼王子		
199801	<15%	380611|380609|380602|380603|380604|380609|380602|380603|380607|380610
199802	<30%	380611|380603|380602|380603|380602|380601
199803	<50%	380611|380609|380604|380609|380602|380609|380604|380609|380602|380610
199804	<70%	380603|380602|380603|380602|380601
199805	<85%	380611|380609|380604|380609|380605|380609|380606|380609|380607|380610
199806	正常combol	380603|380602|380601
##		
199901	大combo	380318|380312|380312|380317|380312|380316
199902	小combo	380317|380312|380316
199903	疯狂连斩	380312|380312|380313
##		
## 200000-299999  王国军、托赖辟玛、伊娜、茱儿 		
##		
# 伊娜连招		
200001	普攻4连（无硬直）	400001|400002|400003|400004
200002	普攻4连	400011|400012|400013|400014
200003	普攻4+4	400011|400012|400013|400015|400016|400012|400013|400014
200004	普攻3+1+4	400011|400012|400013|400101|400016|400012|400013|400014
200005	普攻3+1+4+4	400011|400012|400013|400101|400016|400012|400013|400014|400016|400012|400013|400014
# 达克尼斯连招		
230001	追击Combo	420104|420104|420104|420104|420104|420104|420104|420104|420104
# 紫衣女飞贼连招		
240001	普攻4连	430001|430002|430003|430004
240002	普攻3连+升龙刃	430001|430002|430003|430102
240003	普攻3连+升龙刃+升龙刃	430001|430002|430003|430102|430102
240004	普攻3连+刃旋转	430001|430002|430003|430201
240005	普攻3连+刃旋转+升龙刃	430001|430002|430003|430201|430102
240006	刃旋转+升龙刃	430201|430102
240007	刃旋转+升龙刃+升龙刃	430201|430102|430102
240008	刃旋转+刃旋转+升龙刃	430201|430201|430102
# 蕾咪连招		
250001	普攻3连	440101|440102|440103
250002	普攻2连+普攻3连	440101|440102|440101|440102|440103
250003	普攻2连+小冲	440101|440102|440201
250004	小冲+普攻3连	440201|440101|440102
250005	小冲+小冲	440201|440201
250006	普攻1连+小冲+小冲	440101|440201|440201
250101	普攻1连+旋转	440101|440201
250102	普攻2连+旋转+小冲	440101|440102|440301|440201
250103	普攻2连+小冲+旋转	440101|440102|440201|440301
250104	小冲+旋转+普攻1连+小冲	440201|440301|440101|440201
250201	连击+普攻3连	440401|440101|440102|440103
250202	连击+旋转	440401|440301
250203	连击+旋转+普攻3连	440401|440301|440101|440102|440103
250204	连击+旋转+普攻2连+小冲	440401|440301|440101|440102|440201
250301	普攻2连+挑空	440101|440102|440501
250302	普攻1连+挑空	440101|440501
250303	连击+普攻1连+挑空	440401|440101|440501
250304	连击+普攻1连+旋转+普攻1连+挑空	440401|440101|440301|440101|440501
# 银盾长枪兵连招		
200201	重—重	300410|300408
200202	重—轻	300410|300407
200203	轻—重	300409|300408
200204	轻—重—轻	300409|300412|300407
200205	重—轻—重	300410|300411|300408
200206	重—重—轻	300410|300412|300407
# 影刃双刀兵连招		
200301	打—退	320301|320302
200302	打—刺—退	320301|320303|320302
200303	退—刺—退	320302|320303|320302
200304	刺—退	320303|320302
200305	刺—刺—退	320303|320303|320302
200306	刺—退—刺—退	320303|320302|320303|320302
# 影刃单刀兵连招		
200401	退—镖	320305|320306
200402	镖—镖	320306|320306
200403	镖—镖—镖	320306|320306|320306
300001	狂战士连招	380802|380204|380801
300002	萨菲勒黑洞+裂隙	380703|380702
300003	萨菲勒牵引+破军	380706|380705
300004	萨菲勒牵引+黑球	380706|380707
300005	炎兽连招	381006|381001|381012|381004
300006	古斯兰玛连招1	381101|381102
300007	古斯兰玛连招2	381106|381102
#朱罗夫霸体+技能连招		
380401	普攻	380408|380401
380402	横抡	380408|380402
380403	跳砸	380408|380403
380404	旋风	380408|380404
380405	浮空	380408|380405
380406	连招1	380408|380406
380407	连招2	380408|380407
