ModelId	Desc	CombatStdSpeed	ForwardStdSpeed	SlowStdSpeed	FastStdSpeed	Sleep	ActionPrefix	Stand_0	Idle_Stand	Idle_0	Idle_1	Idle_2	SlowMove	FastMove	RunForward_0	CombatStand	CombatRun	Hurt_0	Hurt_1	Hurt_2	Taunt	Dead_0	Dead_1	Dead_2	PostDead_0	PostDead_1	PostDead_2	Born	GetUp_0	GetUp_1	FlyUp	FlyDown	FlyHurt	FlyDownGround	OnGround	Grab	Celebrate_0	Depressed_0	SkillSection01	SkillSection02	SkillSection03	SkillSection04	SkillSection05	SkillSection06	SkillSection07	SkillSection08	SkillSection09	SkillSection10	SkillSection11	SkillSection12	SkillSection13	SkillSection14	SkillSection15	SkillSection16	SkillSection17	SkillSection18	SkillSection19	SkillSection20
#英雄																																																										
1	剑士动作	6.375	6.375				Swordman_	hero_idle	hero_idle	hero_idle	hero_idle	hero_idle	run	run	run			hurt				dead						Stand	GetUp		FlyUp	FlyUp	FlyHurt	FlyDownG	Ground				stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
2	枪手动作	6.375	6.375				Shooter_	Stand	Stand	Stand	Stand	Stand	Run	Run	Run			Stand				dead						Stand	GetUp		FlyUp	FlyUp	FlyHurt	FlyDownG	Ground				stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
3	枪手动作	6.375	6.375				QiangShou_	Stand	Stand	Stand	Stand	Stand	Run	Run	Run			Stand				dead						Stand	GetUp		FlyUp	FlyUp	FlyHurt	FlyDownG	Ground				stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
4	新剑士动作	8.5	8.5				jianshi_	stand_01	stand_01	stand_01	stand_01	stand_01	run_01	run_01	run_01			pugong_01				pugong_01						getup_01	pugong_01		pugong_01	pugong_01	pugong_01	pugong_01	pugong_01				stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
5	刺客动作	8.5	7	2.5	5.2		Cike_	Stand_02	Stand_02	Stand_02	Stand_02	Stand_02	Walk	Run	Run_02	Stand	Run	Hurt	Hurt	Hurt		Dead			Show			Stand	GetUp		AirUp	AirDown	AirHurt	AirGround	AirGround	AirHurt			Stand	AirGround	GetUp	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
6	新剑士动作	8.5	8.5				jianshi_	stand_01	stand_01	stand_01	stand_01	stand_01	run_01	run_01	run_01			hurt				dead						getup_01	hero_attack_0		hero_attack_0	hero_attack_0	hero_attack_0	hero_attack_0	pugong_01				stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand	stand								
7	斩狂动作	7.5	7	2.5	5.2			hero_idle	hero_idle	hero_idle	hero_idle	hero_idle	hero_walk	hero_run	hero_run	hero_idle	hero_run	hurt_01	hurt_01	hurt_01		dead_01			shuashuai_01			getup_01	getup_01		flyup_01	flydown_01	flyhurt_01	knockdown_01	knockdown_01	flyhurt_01			ready_01	knockdown_01	getup_01	ready_01	ready_01	ready_01	ready_01	ready_01	ready_01	ready_01	ready_01	ready_01								
8	法师动作	7.5	7	2.5	5.2		fashi_	stand_01	stand_01	stand_01	stand_01	stand_01	run_01	run_01	run_01	ready_01	run_01	hurt_01	hurt_01	hurt_01		dead_01			shuashuai_01			getup_01	getup_01		flyup_01	flydown_01	flyhurt_01	knockdown_01	knockdown_01	flyhurt_01			ready_01	knockdown_01	getup_01	ready_01	ready_01	ready_01	ready_01	ready_01	ready_01	ready_01	ready_01	ready_01								
#主线小怪																																																										
1011	斧头布鲁夫	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02	Idle_Sleep	Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			RidiculeLoop	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1012	掷矛布鲁夫	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02	Idle_Sleep	Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			RidiculeLoop	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1013	布鲁夫精英怪	6.375	3.5	1.8	4.5			Stand	Stand	Idle_01	Idle_01		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1014	纵火布鲁夫	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02	Idle_Sleep	Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1015	哥布林boss	6.375	3.5	2	5			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1021	利爪狼人	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02	Stand	Walk	Run	Run	Stand	Run	Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1022	骨斧小狼人	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1031	王国军长矛兵	6.375	3.5	1.12	3.45			Stand	Idle_Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1032	王国军剑兵	6.375	3.5	1.12	3.45			Stand	Idle_Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1033	王国军火枪兵	6.375	3.5	1.12	3.45			Stand	Idle_Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
