Month	ItemId0	ItemNum0	ItemId1	ItemNum1	ItemId2	ItemNum2	ItemId3	ItemNum3	ItemId4	ItemNum4	ItemId5	ItemNum5	ItemId6	ItemNum6	ItemId7	ItemNum7	ItemId8	ItemNum8	ItemId9	ItemNum9	ItemId10	ItemNum10	ItemId11	ItemNum11	ItemId12	ItemNum12	ItemId13	ItemNum13	ItemId14	ItemNum14	ItemId15	ItemNum15	ItemId16	ItemNum16	ItemId17	ItemNum17	ItemId18	ItemNum18	ItemId19	ItemNum19	ItemId20	ItemNum20	ItemId21	ItemNum21	ItemId22	ItemNum22	ItemId23	ItemNum23	ItemId24	ItemNum24	ItemId25	ItemNum25	ItemId26	ItemNum26	ItemId27	ItemNum27	ItemId28	ItemNum28	ItemId29	ItemNum29	ItemId30	ItemNum30	ItemId31	ItemNum31
1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
2	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
3	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
4	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
5	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
6	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
7	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
8	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
9	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
10	102	100	400001	50	410006	50	101	20000	101001	80	101	30000	102	120	102	120	400001	60	101	21000	410006	15	101001	100	101	32000	102	140	102	140	400001	70	101	22000	410006	20	101001	120	101	34000	102	160	102	160	400001	80	101	23000	410006	25	101001	140	101	36000	102	180	102	180	400001	90	101	24000	410006	30
11	102	100	400001	50	410006	50	101	20000	101001	80	101	30000	102	120	102	120	400001	60	101	21000	410006	15	101001	100	101	32000	102	140	102	140	400001	70	101	22000	410006	20	101001	120	101	34000	102	160	102	160	400001	80	101	23000	410006	25	101001	140	101	36000	102	180	102	180	400001	90	101	24000	410006	30
12	102	100	400001	50	410006	50	101	20000	101001	80	101	30000	102	120	102	120	400001	60	101	21000	410006	15	101001	100	101	32000	102	140	102	140	400001	70	101	22000	410006	20	101001	120	101	34000	102	160	102	160	400001	80	101	23000	410006	25	101001	140	101	36000	102	180	102	180	400001	90	101	24000	410006	30
