Id	Describe	Color	AddHpMax1	AddHpMax2	AddEpMax1	AddEpMax2	AddAd1	AddAd2	AddADp1	AddADp2	AddMDp1	AddMDp2	AddCri1	AddCri2	AddPow1	AddPow2	AddBackHitPow1	AddBackHitPow2	AddCrackPow1	AddCrackPow2	AddHpRecover1	AddHpRecover2	AddEpRecover1	AddEpRecover2	AddSpd1	AddSpd2	AddFireDam1	AddFireDam2	AddFireErd1	AddFireErd2	AddIceDam1	AddIceDam2	AddIceErd1	AddIceErd2	AddPoisonDam1	AddPoisonDam2	AddPoisonErd1	AddPoisonErd2	AddWeight1	AddWeight2	AddRps1	AddRps2	AddAttackRange1	AddAttackRange2
#我是注释行																																												
1	我是描述		10000																																									
2	我是描述																																											
24001													1																															
24002													2																															
24003													3																															
24004															3																													
24005															4																													
24006															5																													
34001													2																															
34002													3																															
34003													4																															
34004															4																													
34005															5																													
34006															6																													
44001													4																															
44002													5																															
44003													6																															
44004															5																													
44005															7																													
44006															9																													
45001													5																															
45002													6																															
45003													7																															
45004															6																													
45005															8																													
45006															10																													
45010																	3		3																									
45011																	4		4																									
45012																	5		5																									
46001													6																															
46002													7																															
46003													8																															
46004															8																													
46005															10																													
46006															12																													
46010																	4		4																									
46011																	5		5																									
46012																	6		6																									
54001													2				6		6																									
54002													3				6		6																									
54003													4				6		6																									
54004													2				8		8																									
54005													3				8		8																									
54006													4				8		8																									
54007													2				10		10																									
54008													3				10		10																									
54009													4				10		10																									
54010													2																															
54011													3																															
54012													4																															
54013																	6		6																									
54014																	8		8																									
54015																	10		10																									
54016															2		6		6																									
54017															3		6		6																									
54018															4		6		6																									
54019															2		8		8																									
54020															3		8		8																									
54021															4		8		8																									
54022															2		10		10																									
54023															3		10		10																									
54024															4		10		10																									
54025															2																													
54026															3																													
54027															4																													
54028																	6		6																									
54029																	8		8																									
54030																	10		10																									
55001													10				1		1																									
55002													12				1		1																									
55003													14				1		1																									
55004													10				2		2																									
55005													12				2		2																									
55006													14				2		2																									
55007													10				3		3																									
55008													12				3		3																									
55009													14				3		3																									
55010													10																															
55011													12																															
55012													14																															
55013																	1		1																									
55014																	2		2																									
55015																	3		3																									
55016															14		1		1																									
55017															16		1		1																									
55018															18		1		1																									
55019															14		2		2																									
55020															16		2		2																									
55021															18		2		2																									
55022															14		3		3																									
55023															16		3		3																									
55024															18		3		3																									
55025															14																													
55026															16																													
55027															18																													
55028																	1		1																									
55029																	2		2																									
55030																	3		3																									
55031															18		1		1																									
55032															18		2		2																									
55033															18		3		3																									
55034															18																													
91001													1		2		1		1										5000				5000				5000							
91002													1		2		1		1								5000				5000				5000									
101010																							500																					
101020																					500																							
101030								1000000200																																				
101040				1000000200																																								
#Partner																																												
200001			10000				10000						50		50		50																											
200002			10001				10001						50		50		50																											
200003			10002				10002						50		50		50																											
200004			10003				10003						50		50		50																											
200005			10004				10004						50		50		50																											
211001				1000000300				1000000300		1000000300																	3300		15600															
211002				1000000400				1000000400		1000000400																	4400		20800															
211003				1000000500				1000000500		1000000500																	5500		26000															
211004				1000000700				1000000700		1000000700																	7700		36300															
211005				1000000900				1000000900		1000000900																	9900		46700															
211006				1000001100				1000001100		1000001100																	12000		57000															
211007				1000001400				1000001400		1000001400																	15300		72600															
211008				1000001700				1000001700		1000001700																	18600		88100															
211009				1000002200				1000002200		1000002200																	24000		114000															
212001				1000000300				1000000300				1000000300															3300		15600															
212002				1000000400				1000000400				1000000400															4400		20800															
212003				1000000500				1000000500				1000000500															5500		26000															
212004				1000000700				1000000700				1000000700															7700		36300															
212005				1000000900				1000000900				1000000900															9900		46700															
212006				1000001100				1000001100				1000001100															12000		57000															
212007				1000001400				1000001400				1000001400															15300		72600															
212008				1000001700				1000001700				1000001700															18600		88100															
212009				1000002200				1000002200				1000002200															24000		114000															
213001				1000000600				1000000600		1000000240																			3200															
213002				1000000800				1000000800		1000000320																			4200															
213003				1000001000				1000001000		1000000400																			5200															
213004				1000001400				1000001400		1000000560																			7300															
213005				1000001800				1000001800		1000000720																			9400															
213006				1000002200				1000002200		1000000880																			11400															
213007				1000002800				1000002800		1000001120																			14600															
213008				1000003400				1000003400		1000001360																			17700															
213009				1000004400				1000004400		1000001760																			22800															
214001				1000000540						1000000360																	6600																	
214002				1000000720						1000000480																	8800																	
214003				1000000900						1000000600																	11000																	
214004				1000001260						1000000840																	15400																	
214005				1000001620						1000001080																	19800																	
214006				1000001980						1000001320																	24000																	
214007				1000002520						1000001680																	30600																	
214008				1000003060						1000002040																	37200																	
214009				1000003960						1000002640																	48000																	
215001				1000000600																							6000		18800															
215002				1000000800																							8000		25000															
215003				1000001000																							9900		31200															
215004				1000001400																							13900		43600															
215005				1000001800																							17900		56100															
215006				1000002200																							21600		68400															
215007				1000002800																							27600		87200															
215008				1000003400																							33500		105800															
215009				1000004400																							43200		136800															
216001				1000000540				1000000540																					21900															
216002				1000000720				1000000720																					29200															
216003				1000000900				1000000900																					36400															
216004				1000001260				1000001260																					50900															
216005				1000001620				1000001620																					65400															
216006				1000001980				1000001980																					79800															
216007				1000002520				1000002520																					101700															
216008				1000003060				1000003060																					123400															
216009				1000003960				1000003960																					159600															
217001				1000001080						1000000288																	6600		3200															
217002				1000001440						1000000384																	8800		4200															
217003				1000001800						1000000480																	11000		5200															
217004				1000002520						1000000672																	15400		7300															
217005				1000003240						1000000864																	19800		9400															
217006				1000003960						1000001056																	24000		11400															
217007				1000005040						1000001344																	30600		14600															
217008				1000006120						1000001632																	37200		17700															
217009				1000007920						1000002112																	48000		22800															
218001				1000000360				1000000240		1000000300																	2700		18800															
218002				1000000480				1000000320		1000000400																	3600		25000															
218003				1000000600				1000000400		1000000500																	4400		31200															
218004				1000000840				1000000560		1000000700																	6200		43600															
218005				1000001080				1000000720		1000000900																	8000		56100															
218006				1000001320				1000000880		1000001100																	9600		68400															
218007				1000001680				1000001120		1000001400																	12300		87200															
218008				1000002040				1000001360		1000001700																	14900		105800															
218009				1000002640				1000001760		1000002200																	19200		136800															
219001				1000000300				1000000240		1000000240																	2000		15600															
219002				1000000400				1000000320		1000000320																	2700		20800															
219003				1000000500				1000000400		1000000400																	3300		26000															
219004				1000000700				1000000560		1000000560																	4700		36300															
219005				1000000900				1000000720		1000000720																	6000		46700															
219006				1000001100				1000000880		1000000880																	7200		57000															
219007				1000001400				1000001120		1000001120																	9200		72600															
219008				1000001700				1000001360		1000001360																	11200		88100															
219009				1000002200				1000001760		1000001760																	14400		114000															
220001				1000000180				1000000300		1000000180																	2000		12500															
220002				1000000240				1000000400		1000000240																	2700		16700															
220003				1000000300				1000000500		1000000300																	3300		20800															
220004				1000000420				1000000700		1000000420																	4700		29100															
220005				1000000540				1000000900		1000000540																	6000		37400															
220006				1000000660				1000001100		1000000660																	7200		45600															
220007				1000000840				1000001400		1000000840																	9200		58100															
220008				1000001020				1000001700		1000001020																	11200		70500															
220009				1000001320				1000002200		1000001320																	14400		91200															
