FitBegin	FitEnd	Money	Gold	ItemCount	Item_1	Item_2
#适用排名开始(含)	适用排名结束			物品个数	id|等级|数量	
1	2	15000	300	1	200007|1|100	
2	3	14500	260	1	200007|1|90	
3	4	14000	240	1	200007|1|80	
4	6	13500	220	1	200007|1|75	
6	11	13000	200	1	200007|1|70	
11	21	12500	190	1	200007|1|65	
21	51	12000	180	1	200007|1|60	
51	101	11500	170	1	200007|1|60	
101	151	11000	160	1	200007|1|55	
151	251	10500	155	1	200007|1|55	
251	351	10000	150	1	200007|1|50	
351	501	9500	145	1	200007|1|50	
501	701	9000	140	1	200007|1|45	
701	1001	8500	135	1	200007|1|45	
1001	1501	8000	130	1	200007|1|40	
1501	2001	7500	125	1	200007|1|40	
2001	3001	7000	120	1	200007|1|35	
3001	4001	6500	115	1	200007|1|35	
4001	5001	6000	110	1	200007|1|30	
5001	6001	5500	105	1	200007|1|25	
6001	8043	5000	100	1	200007|1|20	
