Id	Description	AddHpMax	AddEpMax	AddAd	AddADp	AddMDp	AddCri	AddPow	AddBackHitPow	AddCrackPow	AddHpRecover	AddEpRecover	AddSpd	AddFireDam	AddFireErd	AddIceDam	AddIceErd	AddPoisonDam	AddPoisonErd	AddWeight	AddRps	AddAttackRange
1		99700	10000	4900	0	0	10	150	115	115												
2		114200	10000	5300	0	0	10	150	115	115												
3		129100	10000	5800	0	0	10	150	115	115												
4		144300	10000	6200	0	0	10	150	115	115												
5		159900	10000	6700	0	0	10	150	115	115												
6		175800	10000	7200	0	0	10	150	115	115												
7		192200	10000	7600	0	0	10	150	115	115												
8		208900	10000	8100	0	0	10	150	115	115												
9		225900	10000	8500	0	0	10	150	115	115												
10		243400	10000	9000	0	0	10	150	115	115												
11		261200	10000	9500	0	0	10	150	115	115												
12		282800	10000	9900	0	0	10	150	115	115												
13		305100	10000	10400	0	0	10	150	115	115												
14		328200	10000	10800	0	0	10	150	115	115												
15		352000	10000	11300	0	0	10	150	115	115												
16		376600	10000	11800	0	0	10	150	115	115												
17		401900	10000	12200	0	0	10	150	115	115												
18		427900	10000	12700	0	0	10	150	115	115												
19		454700	10000	13100	0	0	10	150	115	115												
20		486100	10000	13700	0	0	10	150	115	115												
21		516000	10000	14200	0	0	10	150	115	115												
22		552100	10000	14700	0	0	10	150	115	115												
23		589400	10000	15200	0	0	10	150	115	115												
24		623500	10000	15600	0	0	10	150	115	115												
25		665800	10000	16200	0	0	10	150	115	115												
26		722700	10000	17000	0	0	10	150	115	115												
27		743900	10000	17500	0	0	10	150	115	115												
28		789700	10000	18000	0	0	10	150	115	115												
29		836900	10000	18600	0	0	10	150	115	115												
30		885400	10000	19100	0	0	10	150	115	115												
31		935300	10000	19700	0	0	10	150	115	115												
32		986500	10000	20300	0	0	10	150	115	115												
33		1046900	10000	20800	0	0	10	150	115	115												
34		1109000	10000	21400	0	0	10	150	115	115												
35		1190000	10000	22200	0	0	10	150	115	115												
36		1252700	10000	22700	0	0	10	150	115	115												
37		1317000	10000	23200	0	0	10	150	115	115												
38		1383000	10000	23700	0	0	10	150	115	115												
39		1450500	10000	24200	0	0	10	150	115	115												
40		1532600	10000	24900	0	0	10	150	115	115												
41		1614200	10000	25600	0	0	10	150	115	115												
42		1698000	10000	26300	0	0	10	150	115	115												
43		1783900	10000	26900	0	0	10	150	115	115												
44		1871900	10000	27600	0	0	10	150	115	115												
45		1962000	10000	28200	0	0	10	150	115	115												
46		2046800	10000	28800	0	0	10	150	115	115												
47		2110000	10000	29600	0	0	10	150	115	115												
48		2205600	10000	30300	0	0	10	150	115	115												
49		2315100	10000	30900	0	0	10	150	115	115												
50		2427300	10000	31600	0	0	10	150	115	115												
51		2542100	10000	32300	0	0	10	150	115	115												
52		2654500	10000	32900	0	0	10	150	115	115												
53		2769300	10000	33500	0	0	10	150	115	115												
54		2886500	10000	34100	0	0	10	150	115	115												
55		3006100	10000	34700	0	0	10	150	115	115												
56		3128100	10000	35300	0	0	10	150	115	115												
57		3252500	10000	35900	0	0	10	150	115	115												
58		3520000	10000	36500	0	0	10	150	115	115												
59		3708700	10000	36900	0	0	10	150	115	115												
60		3797100	10000	37800	0	0	10	150	115	115												
61		4025200	10000	38500	0	0	10	150	115	115												
62		4259400	10000	39300	0	0	10	150	115	115												
63		4499700	10000	40000	0	0	10	150	115	115												
64		4746000	10000	40800	0	0	10	150	115	115												
65		4998500	10000	41600	0	0	10	150	115	115												
66		5257000	10000	42300	0	0	10	150	115	115												
67		5521600	10000	43100	0	0	10	150	115	115												
68		5792300	10000	43800	0	0	10	150	115	115												
69		6256800	10000	44700	0	0	10	150	115	115												
70		6710800	10000	45400	0	0	10	150	115	115												
71		7176000	10000	46100	0	0	10	150	115	115												
72		7652400	10000	46800	0	0	10	150	115	115												
73		8140000	10000	47500	0	0	10	150	115	115												
74		8638800	10000	48200	0	0	10	150	115	115												
75		9148800	10000	48900	0	0	10	150	115	115												
76		9670000	10000	49600	0	0	10	150	115	115												
77		10235700	10000	50500	0	0	10	150	115	115												
78		10547700	10000	51900	0	0	10	150	115	115												
79		11139200	10000	52800	0	0	10	150	115	115												
80		11744400	10000	53700	0	0	10	150	115	115												
81		12363300	10000	54500	0	0	10	150	115	115												
82		12996000	10000	55400	0	0	10	150	115	115												
83		13642500	10000	56200	0	0	10	150	115	115												
84		14014500	10000	57700	0	0	10	150	115	115												
85		14686800	10000	58600	0	0	10	150	115	115												
86		15372800	10000	59400	0	0	10	150	115	115												
87		16072500	10000	60300	0	0	10	150	115	115												
88		16244600	10000	61100	2000	2000	10	150	115	115					2000		2000		2000			
89		16386700	10000	62600	3000	3000	10	150	115	115					3000		3000		3000			
90		16796700	10000	63400	4000	4000	10	150	115	115					4000		4000		4000			
91		17205400	10000	64100	5000	5000	10	150	115	115					5000		5000		5000			
92		17612700	10000	64900	6000	6000	10	150	115	115					6000		6000		6000			
93		18018700	10000	65700	7000	7000	10	150	115	115					7000		7000		7000			
94		18423600	10000	66400	8000	8000	10	150	115	115					8000		8000		8000			
95		18827200	10000	67200	9000	9000	10	150	115	115					9000		9000		9000			
96		19229800	10000	67900	10000	10000	10	150	115	115					10000		10000		10000			
97		19631300	10000	68700	11000	11000	10	150	115	115					11000		11000		11000			
98		20031800	10000	69500	12000	12000	10	150	115	115					12000		12000		12000			
99		20431300	10000	70200	13000	13000	10	150	115	115					13000		13000		13000			
100		20829800	10000	71000	14000	14000	10	150	115	115					14000		14000		14000			
101		21227500	10000	71700	15000	15000	10	150	115	115					15000		15000		15000			
102		21624300	10000	72500	16000	16000	10	150	115	115					16000		16000		16000			
103		22020300	10000	73300	17000	17000	10	150	115	115					17000		17000		17000			
104		22415400	10000	74000	18000	18000	10	150	115	115					18000		18000		18000			
105		22362600	10000	74800	19000	19000	10	150	115	115					19000		19000		19000			
106		22311000	10000	75500	20000	20000	10	150	115	115					20000		20000		20000			
107		22260800	10000	76300	21000	21000	10	150	115	115					21000		21000		21000			
108		22211800	10000	77100	22000	22000	10	150	115	115					22000		22000		22000			
109		22163900	10000	77800	23000	23000	10	150	115	115					23000		23000		23000			
110		22117200	10000	78600	24000	24000	10	150	115	115					24000		24000		24000			
111		22071600	10000	79300	25000	25000	10	150	115	115					25000		25000		25000			
112		22027000	10000	80100	26000	26000	10	150	115	115					26000		26000		26000			
113		21983500	10000	80900	27000	27000	10	150	115	115					27000		27000		27000			
114		21941000	10000	81600	28000	28000	10	150	115	115					28000		28000		28000			
115		21899400	10000	82400	29000	29000	10	150	115	115					29000		29000		29000			
