Id	LinkId	FightingScore	MonsterType	AttributeId
#我是注释行	#NpcId	#战斗力	#怪物类型	#属性Id
1	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3090	0	1|1|1|1|1|1|1|1|1|1|1001|1001|1001|1001|1001|1001|1001|1001|1001|1001|2001|2001|2001|2001|2001|2001|2001|2001|2001|2001
2	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3440	0	2|2|2|2|2|2|2|2|2|2|1002|1002|1002|1002|1002|1002|1002|1002|1002|1002|2002|2002|2002|2002|2002|2002|2002|2002|2002|2002
3	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3800	0	3|3|3|3|3|3|3|3|3|3|1003|1003|1003|1003|1003|1003|1003|1003|1003|1003|2003|2003|2003|2003|2003|2003|2003|2003|2003|2003
4	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	4150	0	4|4|4|4|4|4|4|4|4|4|1004|1004|1004|1004|1004|1004|1004|1004|1004|1004|2004|2004|2004|2004|2004|2004|2004|2004|2004|2004
5	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	4500	0	5|5|5|5|5|5|5|5|5|5|1005|1005|1005|1005|1005|1005|1005|1005|1005|1005|2005|2005|2005|2005|2005|2005|2005|2005|2005|2005
6	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	4860	0	6|6|6|6|6|6|6|6|6|6|1006|1006|1006|1006|1006|1006|1006|1006|1006|1006|2006|2006|2006|2006|2006|2006|2006|2006|2006|2006
7	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	5210	0	7|7|7|7|7|7|7|7|7|7|1007|1007|1007|1007|1007|1007|1007|1007|1007|1007|2007|2007|2007|2007|2007|2007|2007|2007|2007|2007
8	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	5560	0	8|8|8|8|8|8|8|8|8|8|1008|1008|1008|1008|1008|1008|1008|1008|1008|1008|2008|2008|2008|2008|2008|2008|2008|2008|2008|2008
9	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	5920	0	9|9|9|9|9|9|9|9|9|9|1009|1009|1009|1009|1009|1009|1009|1009|1009|1009|2009|2009|2009|2009|2009|2009|2009|2009|2009|2009
10	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	6270	0	10|10|10|10|10|10|10|10|10|10|1010|1010|1010|1010|1010|1010|1010|1010|1010|1010|2010|2010|2010|2010|2010|2010|2010|2010|2010|2010
11	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	6620	0	11|11|11|11|11|11|11|11|11|11|1011|1011|1011|1011|1011|1011|1011|1011|1011|1011|2011|2011|2011|2011|2011|2011|2011|2011|2011|2011
12	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	6980	0	12|12|12|12|12|12|12|12|12|12|1012|1012|1012|1012|1012|1012|1012|1012|1012|1012|2012|2012|2012|2012|2012|2012|2012|2012|2012|2012
13	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	7330	0	13|13|13|13|13|13|13|13|13|13|1013|1013|1013|1013|1013|1013|1013|1013|1013|1013|2013|2013|2013|2013|2013|2013|2013|2013|2013|2013
14	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	7680	0	14|14|14|14|14|14|14|14|14|14|1014|1014|1014|1014|1014|1014|1014|1014|1014|1014|2014|2014|2014|2014|2014|2014|2014|2014|2014|2014
15	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	8030	0	15|15|15|15|15|15|15|15|15|15|1015|1015|1015|1015|1015|1015|1015|1015|1015|1015|2015|2015|2015|2015|2015|2015|2015|2015|2015|2015
16	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	8390	0	16|16|16|16|16|16|16|16|16|16|1016|1016|1016|1016|1016|1016|1016|1016|1016|1016|2016|2016|2016|2016|2016|2016|2016|2016|2016|2016
17	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	8740	0	17|17|17|17|17|17|17|17|17|17|1017|1017|1017|1017|1017|1017|1017|1017|1017|1017|2017|2017|2017|2017|2017|2017|2017|2017|2017|2017
18	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	9090	0	18|18|18|18|18|18|18|18|18|18|1018|1018|1018|1018|1018|1018|1018|1018|1018|1018|2018|2018|2018|2018|2018|2018|2018|2018|2018|2018
19	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	9450	0	19|19|19|19|19|19|19|19|19|19|1019|1019|1019|1019|1019|1019|1019|1019|1019|1019|2019|2019|2019|2019|2019|2019|2019|2019|2019|2019
20	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	9880	0	20|20|20|20|20|20|20|20|20|20|1020|1020|1020|1020|1020|1020|1020|1020|1020|1020|2020|2020|2020|2020|2020|2020|2020|2020|2020|2020
21	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	10260	0	21|21|21|21|21|21|21|21|21|21|1021|1021|1021|1021|1021|1021|1021|1021|1021|1021|2021|2021|2021|2021|2021|2021|2021|2021|2021|2021
22	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	10650	0	22|22|22|22|22|22|22|22|22|22|1022|1022|1022|1022|1022|1022|1022|1022|1022|1022|2022|2022|2022|2022|2022|2022|2022|2022|2022|2022
23	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	11030	0	23|23|23|23|23|23|23|23|23|23|1023|1023|1023|1023|1023|1023|1023|1023|1023|1023|2023|2023|2023|2023|2023|2023|2023|2023|2023|2023
24	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	11340	0	24|24|24|24|24|24|24|24|24|24|1024|1024|1024|1024|1024|1024|1024|1024|1024|1024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
25	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	11770	0	25|25|25|25|25|25|25|25|25|25|1025|1025|1025|1025|1025|1025|1025|1025|1025|1025|2025|2025|2025|2025|2025|2025|2025|2025|2025|2025
26	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	12040	0	26|26|26|26|26|26|26|26|26|26|1026|1026|1026|1026|1026|1026|1026|1026|1026|1026|2026|2026|2026|2026|2026|2026|2026|2026|2026|2026
27	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	12400	0	27|27|27|27|27|27|27|27|27|27|1027|1027|1027|1027|1027|1027|1027|1027|1027|1027|2027|2027|2027|2027|2027|2027|2027|2027|2027|2027
28	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	12830	0	28|28|28|28|28|28|28|28|28|28|1028|1028|1028|1028|1028|1028|1028|1028|1028|1028|2028|2028|2028|2028|2028|2028|2028|2028|2028|2028
29	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	13260	0	29|29|29|29|29|29|29|29|29|29|1029|1029|1029|1029|1029|1029|1029|1029|1029|1029|2029|2029|2029|2029|2029|2029|2029|2029|2029|2029
30	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	13690	0	30|30|30|30|30|30|30|30|30|30|1030|1030|1030|1030|1030|1030|1030|1030|1030|1030|2030|2030|2030|2030|2030|2030|2030|2030|2030|2030
31	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	14120	0	31|31|31|31|31|31|31|31|31|31|1031|1031|1031|1031|1031|1031|1031|1031|1031|1031|2031|2031|2031|2031|2031|2031|2031|2031|2031|2031
32	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	14550	0	32|32|32|32|32|32|32|32|32|32|1032|1032|1032|1032|1032|1032|1032|1032|1032|1032|2032|2032|2032|2032|2032|2032|2032|2032|2032|2032
33	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	14980	0	33|33|33|33|33|33|33|33|33|33|1033|1033|1033|1033|1033|1033|1033|1033|1033|1033|2033|2033|2033|2033|2033|2033|2033|2033|2033|2033
34	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	15410	0	34|34|34|34|34|34|34|34|34|34|1034|1034|1034|1034|1034|1034|1034|1034|1034|1034|2034|2034|2034|2034|2034|2034|2034|2034|2034|2034
35	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	16070	0	35|35|35|35|35|35|35|35|35|35|1035|1035|1035|1035|1035|1035|1035|1035|1035|1035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035
36	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	16450	0	36|36|36|36|36|36|36|36|36|36|1036|1036|1036|1036|1036|1036|1036|1036|1036|1036|2036|2036|2036|2036|2036|2036|2036|2036|2036|2036
37	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	16830	0	37|37|37|37|37|37|37|37|37|37|1037|1037|1037|1037|1037|1037|1037|1037|1037|1037|2037|2037|2037|2037|2037|2037|2037|2037|2037|2037
38	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	17220	0	38|38|38|38|38|38|38|38|38|38|1038|1038|1038|1038|1038|1038|1038|1038|1038|1038|2038|2038|2038|2038|2038|2038|2038|2038|2038|2038
39	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	17600	0	39|39|39|39|39|39|39|39|39|39|1039|1039|1039|1039|1039|1039|1039|1039|1039|1039|2039|2039|2039|2039|2039|2039|2039|2039|2039|2039
40	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	18140	0	40|40|40|40|40|40|40|40|40|40|1040|1040|1040|1040|1040|1040|1040|1040|1040|1040|2040|2040|2040|2040|2040|2040|2040|2040|2040|2040
41	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	18650	0	41|41|41|41|41|41|41|41|41|41|1041|1041|1041|1041|1041|1041|1041|1041|1041|1041|2041|2041|2041|2041|2041|2041|2041|2041|2041|2041
42	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	19150	0	42|42|42|42|42|42|42|42|42|42|1042|1042|1042|1042|1042|1042|1042|1042|1042|1042|2042|2042|2042|2042|2042|2042|2042|2042|2042|2042
43	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	19660	0	43|43|43|43|43|43|43|43|43|43|1043|1043|1043|1043|1043|1043|1043|1043|1043|1043|2043|2043|2043|2043|2043|2043|2043|2043|2043|2043
44	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	20170	0	44|44|44|44|44|44|44|44|44|44|1044|1044|1044|1044|1044|1044|1044|1044|1044|1044|2044|2044|2044|2044|2044|2044|2044|2044|2044|2044
45	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	20670	0	45|45|45|45|45|45|45|45|45|45|1045|1045|1045|1045|1045|1045|1045|1045|1045|1045|2045|2045|2045|2045|2045|2045|2045|2045|2045|2045
46	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	21100	0	46|46|46|46|46|46|46|46|46|46|1046|1046|1046|1046|1046|1046|1046|1046|1046|1046|2046|2046|2046|2046|2046|2046|2046|2046|2046|2046
47	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	21380	0	47|47|47|47|47|47|47|47|47|47|1047|1047|1047|1047|1047|1047|1047|1047|1047|1047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047
48	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	21890	0	48|48|48|48|48|48|48|48|48|48|1048|1048|1048|1048|1048|1048|1048|1048|1048|1048|2048|2048|2048|2048|2048|2048|2048|2048|2048|2048
49	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	22390	0	49|49|49|49|49|49|49|49|49|49|1049|1049|1049|1049|1049|1049|1049|1049|1049|1049|2049|2049|2049|2049|2049|2049|2049|2049|2049|2049
50	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	22900	0	50|50|50|50|50|50|50|50|50|50|1050|1050|1050|1050|1050|1050|1050|1050|1050|1050|2050|2050|2050|2050|2050|2050|2050|2050|2050|2050
51	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	23410	0	51|51|51|51|51|51|51|51|51|51|1051|1051|1051|1051|1051|1051|1051|1051|1051|1051|2051|2051|2051|2051|2051|2051|2051|2051|2051|2051
52	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	23870	0	52|52|52|52|52|52|52|52|52|52|1052|1052|1052|1052|1052|1052|1052|1052|1052|1052|2052|2052|2052|2052|2052|2052|2052|2052|2052|2052
53	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	24330	0	53|53|53|53|53|53|53|53|53|53|1053|1053|1053|1053|1053|1053|1053|1053|1053|1053|2053|2053|2053|2053|2053|2053|2053|2053|2053|2053
54	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	24790	0	54|54|54|54|54|54|54|54|54|54|1054|1054|1054|1054|1054|1054|1054|1054|1054|1054|2054|2054|2054|2054|2054|2054|2054|2054|2054|2054
55	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	25250	0	55|55|55|55|55|55|55|55|55|55|1055|1055|1055|1055|1055|1055|1055|1055|1055|1055|2055|2055|2055|2055|2055|2055|2055|2055|2055|2055
