TollgateNum	RelativeScore	DropOutMoney	MoneyFactor	DropOutItemId_1	ItemProbality_1	ItemFactor_1	DropOutItemId_2	ItemProbality_2	ItemFactor_2	ImageAiLogic	FlushPos_1	FlushPos_2	FlushPos_3	FlushPos_4	FlushPos_5
1	0.7	400	44				200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
2	0.8	420	44				200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
3	0.9	440	44	846102	0.3	0.01	200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
4	0.95	460	44	303030	0.03		200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
5	1	480	44	846103	0.3	0.01	200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
6	1	500	44	303030	0.03		200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
7	1	520	44	846104	0.3	0.01	200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
8	1	540	44	303030	0.03		200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
9	1.02	560	44	846105	0.3	0.01	200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
10	1.05	580	44	303030	0.03		200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
11	1.07	600	44	303030	0.03		200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
12	1.1	720	44	846106	0.3	0.01	200001	1		30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
