ItemId	Describe	PartId	PartNum	MaterialId	MaterialNum
43101	炎剑	843101	12	303030	0
43107	炎刃	843107	12	303030	0
43108	炎拳	843108	12	303030	0
35101	奔雷剑	835101	3	303030	0
35102	风之丝带	835102	3	303030	0
35103	风之纱	835103	3	303030	0
35104	风之鞋	835104	3	303030	0
35105	落叶项链	835105	3	303030	0
35106	波纹扳指	835106	3	303030	0
35107	霹雳闪电刺	835107	3	303030	0
35108	灵风手套	835108	3	303030	0
36101	冰晶剑	836101	3	303030	0
36102	冰花冠	836102	3	303030	0
36103	冰晶服	836103	3	303030	0
36104	冰晶鞋	836104	3	303030	0
36105	冰锥项链	836105	3	303030	0
36106	冰花戒指	836106	3	303030	0
36107	冰凰刺	836107	3	303030	0
36108	冰晶拳套	836108	3	303030	0
44101	洛基·火麟	844101	20	303030	0
44102	洛基·赤焰	844102	15	303030	0
44103	洛基·龙炎	844103	15	303030	0
44104	洛基·踏火	844104	15	303030	0
44105	洛基·火龙	844105	15	303030	0
44106	洛基·凤尾	844106	15	303030	0
44107	洛基·烈焰	844107	20	303030	0
44108	洛基·烈火	844108	20	303030	0
45101	夫雷·王者	845101	20	303030	0
45102	夫雷·旭日	845102	15	303030	0
45103	夫雷·极光	845103	15	303030	0
45104	夫雷·芒星	845104	15	303030	0
45105	夫雷·红日	845105	15	303030	0
45106	夫雷·日之晶	845106	15	303030	0
45107	夫雷·炫目	845107	20	303030	0
45108	夫雷·骄阳	845108	20	303030	0
45201	西芙·海潮	845201	20	303030	0
45202	西芙·海鱼	845202	15	303030	0
45203	西芙·海龙	845203	15	303030	0
45204	西芙·龙鳞	845204	15	303030	0
45205	西芙·海星	845205	15	303030	0
45206	西芙·小贝	845206	15	303030	0
45207	西芙·海之沫	845207	20	303030	0
45208	西芙·鱼之肌	845208	20	303030	0
46101	人鱼王·王剑	846101	20	303030	0
46102	人鱼王·王冠	846102	15	303030	0
46103	人鱼王·龙袍	846103	15	303030	0
46104	人鱼王·龙靴	846104	15	303030	0
46105	人鱼王·金扣	846105	15	303030	0
46106	人鱼王·玉指	846106	15	303030	0
46107	人鱼王·王刀	846107	20	303030	0
46108	人鱼王·王套	846108	20	303030	0
46201	奥丁·神之剑	846201	20	303030	0
46202	奥丁·大金盔	846202	15	303030	0
46203	奥丁·天父袍	846203	15	303030	0
46204	奥丁·双狼靴	846204	15	303030	0
46205	奥丁·智慧石	846205	15	303030	0
46206	奥丁·记忆环	846206	15	303030	0
46207	奥丁·神之刃	846207	20	303030	0
46208	奥丁·神之手	846208	20	303030	0
54101	爱神·心剑	854101	30	303030	0
54102	爱神·情意盔	854102	22	303030	0
54103	爱神·蜜法衣	854103	22	303030	0
54104	爱神·情侣鞋	854104	22	303030	0
54105	爱神·同心环	854105	22	303030	0
54106	爱神·玫瑰戒	854106	22	303030	0
54107	爱神·心刀	854107	30	303030	0
54108	爱神·暖手套	854108	30	303030	0
55101	月神·寒光剑	855101	30	303030	0
55102	月神·轻纱帽	855102	22	303030	0
55103	月神·幻羽衣	855103	22	303030	0
55104	月神·夜影靴	855104	22	303030	0
55105	月神·月牙坠	855105	22	303030	0
55106	月神·流星戒	855106	22	303030	0
55107	月神·狩猎刃	855107	30	303030	0
55108	月神·倩影套	855108	30	303030	0
55201	死神·嗜血刀	855201	30	303030	0
55202	死神·幽灵盔	855202	22	303030	0
55203	死神·魔星袍	855203	22	303030	0
55204	死神·蚀骨靴	855204	22	303030	0
55205	死神·黑心链	855205	22	303030	0
55206	死神·毒蛇戒	855206	22	303030	0
55207	死神·夺命刃	855207	30	303030	0
55208	死神·幽冥套	855208	30	303030	0
