ItemId	ItemName	ItemTrueName	ItemCategory	ItemType	Description	CanWear	WearParts	WearLevel	CompoundItemId	Grade	CanUpgrade	CanDeve	ItemSourceScene	ItemSourceDesc	ElementType	AttachedProperty	TalentType	TalentAttributes	ActiveAttributes	Inlay	Weight	ExperienceProvide	UseLogicId	UseResultDesc	UseResultData	UseIconOnLevel	WearNodeAndName	UseModelOnLevel	ActiveBuffOnLevel	AddBuffOnEquiping	AddSkillOnEquiping	ShowInShop	Model	UiModel	MaxStackNum	ConsumeItems	ConsumeMoney	PropertyRank	AddExp	AddMoney	AddBuffer	AddHpMax	AddEpMax	AddAd	AddADp	AddMDp	AddCri	AddPow	AddBackHitPow	AddCrackPow	AddHpRecover	AddEpRecover	AddSpd	AddFireDam	AddFireErd	AddIceDam	AddIceErd	AddPoisonDam	AddPoisonErd	AddWeight	AddRps	AddAttackRange	Introduce	ItemSkillFirst	ItemSkillSecond	ItemSkillThird	NormalIcon	BigIcon	SellingPrice	SellGainGoldProb	SellGainGoldNum	LevelUpAddHpMax	LevelUpAddEpMax	LevelUpAddAd	LevelUpAddADp	LevelUpAddMDp	ShowType
101	金币	UI/GoodsPhoto/Money		金币		FALSE					FALSE	FALSE																							1			1																																							
102	钻石	UI/GoodsPhoto/Diamond		钻石		FALSE					FALSE	FALSE																							1			1																																							
103	经验	UI/GoodsPhoto/Exp		经验		FALSE					FALSE	FALSE																							1			1																																							
104	复活石	UI/GoodsPhoto/fuhuoshi		复活石		FALSE					FALSE	FALSE																							999			3																																							
105	扫荡券	UI/GoodsPhoto/Wipeout		扫荡券	三星通关精英关卡后，可使用扫荡券进行关卡扫荡	FALSE					FALSE	FALSE																							999			2																																							
106	月卡	UI/GoodsPhoto/yueka		月卡	购买月卡后，可连续[ff0000]30[-]天每天获得[ff0000]50[-]钻石	FALSE					FALSE	FALSE																							1			3																																							
201	测试-奥义-无双	UI/GoodsPhoto/14101	2	奥义		FALSE					TRUE	TRUE					1	1|2|3|4	1|2|3|4																1			1																															100	1	1						
14101	锋利的剑	UI/GoodsPhoto/14101		武器		TRUE	0				TRUE	TRUE																							1			1						1560																									100	1	1			216			
14102	皮盔	UI/GoodsPhoto/14102		帽子		TRUE	1	5			TRUE	TRUE																							1			1				5400				660																							100	1	1	540				135	
14103	皮甲	UI/GoodsPhoto/14103		衣服		TRUE	2				TRUE	TRUE																							1			1				2000			260																								100	1	1	200			55		
14104	皮靴	UI/GoodsPhoto/14104		鞋子		TRUE	3				TRUE	TRUE																							1			1							200	200																							100	1	1				80	80	
14105	飞鹰吊坠	UI/GoodsPhoto/14105		饰品		TRUE	4				TRUE	TRUE																							1			1						520																									100	1	1			72			
14106	琥珀戒指	UI/GoodsPhoto/14106		指环		TRUE	5				TRUE	TRUE																							1			1				3600		520																									100	1	1	360		72			
14107	弧形利刃	UI/GoodsPhoto/14107		武器		TRUE	0				TRUE	TRUE																							1			1						1560																									100	1	1			216			
14108	兽皮手套	UI/GoodsPhoto/99999		武器		TRUE	0				TRUE	TRUE																							1			1						1560																									100	1	1			216			
23101	精铁剑	UI/GoodsPhoto/24101		武器		TRUE	0				TRUE	TRUE				24001|24002|24003																			1			2						1980																									200	1	1			324			
23102	铁盔	UI/GoodsPhoto/24102		帽子		TRUE	1				TRUE	TRUE				24004|24005|24006																			1			2				7200				765																							200	1	1	810				202	
23103	铁甲	UI/GoodsPhoto/24103		衣服		TRUE	2				TRUE	TRUE				24004|24005|24006																			1			2				12000			765																								200	1	1	1350			202		
23104	铁靴	UI/GoodsPhoto/24104		鞋子		TRUE	3				TRUE	TRUE				24004|24005|24006																			1			2							510	510																							200	1	1				135	135	
23105	苹果吊坠	UI/GoodsPhoto/24105		饰品	你是我的小呀小苹果，怎么爱你都不嫌多	TRUE	4				TRUE	TRUE				24001|24002|24003																			1			2						660																									200	1	1			108			
23106	四叶草戒指	UI/GoodsPhoto/24106		指环		TRUE	5				TRUE	TRUE				24001|24002|24003																			1			2				4800		660																									200	1	1	540		108			
23107	精铁匕首	UI/GoodsPhoto/24107		武器		TRUE	0				TRUE	TRUE				24001|24002|24003																			1			2						1980																									200	1	1			324			
23108	格斗拳套	UI/GoodsPhoto/99999		武器		TRUE	0				TRUE	TRUE				24001|24002|24003																			1			2						1980																									200	1	1			324			
24101	晶石剑	UI/GoodsPhoto/24101		武器		TRUE	0				TRUE	TRUE				24001|24002|24003																			1			2						2340																									200	1	1			324			
24102	晶石头盔	UI/GoodsPhoto/24102		帽子		TRUE	1				TRUE	TRUE				24004|24005|24006																			1			2				8100				990																							200	1	1	810				202	
24103	晶石护甲	UI/GoodsPhoto/24103		衣服		TRUE	2				TRUE	TRUE				24004|24005|24006																			1			2				13500			990																								200	1	1	1350			202		
24104	晶石战靴	UI/GoodsPhoto/24104		鞋子		TRUE	3				TRUE	TRUE				24004|24005|24006																			1			2							660	660																							200	1	1				135	135	
24105	天箭吊坠	UI/GoodsPhoto/24105		饰品		TRUE	4				TRUE	TRUE				24001|24002|24003																			1			2						780																									200	1	1			108			
24106	晶石戒指	UI/GoodsPhoto/24106		指环		TRUE	5				TRUE	TRUE				24001|24002|24003																			1			2				5400		780																									200	1	1	540		108			
24107	晶石刃	UI/GoodsPhoto/24107		武器		TRUE	0				TRUE	TRUE				24001|24002|24003																			1			2						2340																									200	1	1			324			
24108	晶石手套	UI/GoodsPhoto/99999		武器		TRUE	0				TRUE	TRUE				24001|24002|24003																			1			2						2340																									200	1	1			324			
34101	月光银剑	UI/GoodsPhoto/34101		武器		TRUE	0				TRUE	TRUE				34001|34002|34003																			1			3						3510																									300	1	1			486			
34102	耀银盔	UI/GoodsPhoto/34102		帽子		TRUE	1				TRUE	TRUE				34004|34005|34006																			1			3				12150				1485																							300	1	1	1215				303	
34103	耀银铠甲	UI/GoodsPhoto/34103		衣服		TRUE	2				TRUE	TRUE				34004|34005|34006																			1			3				20250			1485																								300	1	1	2025			303		
34104	耀银靴	UI/GoodsPhoto/34104		鞋子		TRUE	3				TRUE	TRUE				34004|34005|34006																			1			3							990	990																							300	1	1				202	202	
34105	翼蛇吊坠	UI/GoodsPhoto/34105		饰品		TRUE	4				TRUE	TRUE				34001|34002|34003																			1			3						1170																									300	1	1			162			
34106	鱼人戒指	UI/GoodsPhoto/34106		指环		TRUE	5				TRUE	TRUE				34001|34002|34003																			1			3				8100		1170																									300	1	1	810		162			
34107	银牙刺	UI/GoodsPhoto/34107		武器		TRUE	0				TRUE	TRUE				34001|34002|34003																			1			3						3510																									300	1	1			486			
34108	月光手套	UI/GoodsPhoto/99999		武器		TRUE	0				TRUE	TRUE				34001|34002|34003																			1			3						3510																									300	1	1			486			
35101	奔雷剑	UI/GoodsPhoto/36101		武器		TRUE	0				TRUE	TRUE				34001|34002|34003																			1			3						4050																									300	1	1			486			
35102	风之丝带	UI/GoodsPhoto/36102		帽子		TRUE	1				TRUE	TRUE				34004|34005|34006																			1			3				13500				1822																							300	1	1	1215				303	
35103	风之纱	UI/GoodsPhoto/36103		衣服		TRUE	2				TRUE	TRUE				34004|34005|34006																			1			3				22500			1822																								300	1	1	2025			303		
35104	风之鞋	UI/GoodsPhoto/36104		鞋子		TRUE	3				TRUE	TRUE				34004|34005|34006																			1			3							1215	1215																							300	1	1				202	202	
35105	落叶项链	UI/GoodsPhoto/36105		饰品		TRUE	4				TRUE	TRUE				34001|34002|34003																			1			3						1350																									300	1	1			162			
35106	波纹扳指	UI/GoodsPhoto/36106		指环		TRUE	5				TRUE	TRUE				34001|34002|34003																			1			3				9000		1350																									300	1	1	810		162			
35107	霹雳闪电刺	UI/GoodsPhoto/36107		武器		TRUE	0				TRUE	TRUE				34001|34002|34003																			1			3						4050																									300	1	1			486			
35108	灵风手套	UI/GoodsPhoto/99999		武器		TRUE	0				TRUE	TRUE				34001|34002|34003																			1			3						4050																									300	1	1			486			
36101	冰晶剑	UI/GoodsPhoto/36101		武器		TRUE	0				TRUE	TRUE				44001|44002|44003																			1			3						4590																									300	1	1			486			
