Level	CostItemID_1	CostItemID_2	CostItemID_3	CostItemID_4	CostNum	Rate
1	101001	101002	101003	101004	4	2
2	101001	101002	101003	101004	6	2
3	101001	101002	101003	101004	8	2
4	101001	101002	101003	101004	10	2
5	101001	101002	101003	101004	12	2
6	101001	101002	101003	101004	14	2
7	101001	101002	101003	101004	16	2
8	101001	101002	101003	101004	18	2
9	101001	101002	101003	101004	20	2
10	101001	101002	101003	101004	40	2
11	101001	101002	101003	101004	42	2
12	101001	101002	101003	101004	44	2
13	101001	101002	101003	101004	46	2
14	101001	101002	101003	101004	48	2
15	101001	101002	101003	101004	50	2
16	101001	101002	101003	101004	52	2
17	101001	101002	101003	101004	54	2
18	101001	101002	101003	101004	56	2
19	101001	101002	101003	101004	58	2
20	101001	101002	101003	101004	80	2
21	101001	101002	101003	101004	82	2
22	101001	101002	101003	101004	84	2
23	101001	101002	101003	101004	86	2
24	101001	101002	101003	101004	88	2
25	101001	101002	101003	101004	90	2
26	101001	101002	101003	101004	92	2
27	101001	101002	101003	101004	94	2
28	101001	101002	101003	101004	96	2
29	101001	101002	101003	101004	98	2
30	101001	101002	101003	101004	130	2
31	101001	101002	101003	101004	132	2
32	101001	101002	101003	101004	134	2
33	101001	101002	101003	101004	136	2
34	101001	101002	101003	101004	138	2
35	101001	101002	101003	101004	140	2
36	101001	101002	101003	101004	142	2
37	101001	101002	101003	101004	144	2
38	101001	101002	101003	101004	146	2
39	101001	101002	101003	101004	148	2
40	101001	101002	101003	101004	190	2
41	101001	101002	101003	101004	192	2
42	101001	101002	101003	101004	194	2
43	101001	101002	101003	101004	196	2
44	101001	101002	101003	101004	198	2
45	101001	101002	101003	101004	200	2
46	101001	101002	101003	101004	202	2
47	101001	101002	101003	101004	204	2
48	101001	101002	101003	101004	206	2
49	101001	101002	101003	101004	208	2
50	101001	101002	101003	101004	250	2
51	101001	101002	101003	101004	253	2
52	101001	101002	101003	101004	256	2
53	101001	101002	101003	101004	259	2
54	101001	101002	101003	101004	262	2
55	101001	101002	101003	101004	265	2
56	101001	101002	101003	101004	268	2
57	101001	101002	101003	101004	271	2
58	101001	101002	101003	101004	274	2
59	101001	101002	101003	101004	277	2
60	101001	101002	101003	101004	300	2
