Id	Type	Name	Description	FollowId	SceneId	LevelLimit	Condition	Args0	Args1	DropId	TriggerGuide	UnlockLegacyId	IsBornMission	TargetUI
#	1=主线任务；2=挑战任务	任务名	描述	后置任务Id	对应关卡Id	等级限制	完成条件: 1=达成等级；2=通关副本n次；3=指定时间通关副本；4=小于n次受击通关副本；5=死亡次数小于n；6=自动完成（日常）7=完成任意场景n次 8=几星完成某关；	条件参数:根据Condition配置。Condition=1：对应等级。Condition=2：对应副本；Condition=3：对应时间；Condition=4：对应受击数；Condition=5：对应死亡数	条件参数	任务奖励	出发系统引导	解锁的神器Id	是否出生接取	目标ui：0无，1副本，2pvp，3活动
#主线任务														
10000	1	救星	通关新手关卡	10002	9000		2	9000	1	10001				1
10001	1	打开城门	完成剧情关1-1	10002	1011		2	1011	1	10002			TRUE	1
10002	1	建立新防区	完成剧情关1-2	10003	1012		2	1012	1	10003				1
10003	1	清除路障Ⅰ	完成剧情关1-3	10004	1013		2	1013	1	10004				1
10004	1	清除路障Ⅱ	完成剧情关1-4	10005	1014		2	1014	1	10005				1
10005	1	黎明的突袭	完成剧情关1-5	10007	1015		2	1015	1	10006				1
10006	1	废弃的一个任务	废弃的一个任务	10007	1016		2	1016	1	10007				1
10007	1	清扫余党	完成剧情关1-6	10008	1016		2	1016	1	10008				1
10008	1	营救村庄	完成剧情关1-7	10009	1017		2	1017	1	10009				1
10009	1	法盎的邀约	完成剧情关1-8	10010	1018		2	1018	1	10010				1
10010	1	奇袭计划	完成剧情关2-1	10011	1021		2	1021	1	10011				1
10011	1	急行军Ⅰ	完成剧情关2-2	10012	1022		2	1022	1	10012				1
10012	1	急行军Ⅱ	完成剧情关2-3	10014	1023		2	1023	1	10013				1
10013	2	古萨大桥	完成精英关1-1	20001	2011	9	2	2011	1	10014			TRUE	1
10014	1	暴露行踪	完成剧情关2-4	10015	1024		2	1024	1	10015				1
10015	1	潜入军营	完成剧情关2-5	10016	1025		2	1025	1	10016				1
10016	1	初战伊娜	完成剧情关2-6	10017	1026		2	1026	1	10017				1
