Id	FightingScore	SceneType	AttributeId
#我是注释行	#战斗力	#场景类型 0-试练；	#属性Id
1	3090	0	4001
2	3440	0	4002
3	3800	0	4003
4	4150	0	4004
5	4500	0	4005
6	4860	0	4006
7	5210	0	4007
8	5560	0	4008
9	5920	0	4009
10	6270	0	4010
11	6620	0	4011
12	6980	0	4012
13	7330	0	4013
14	7680	0	4014
15	8030	0	4015
16	8390	0	4016
17	8740	0	4017
18	9090	0	4018
19	9450	0	4019
20	9880	0	4020
21	10260	0	4021
22	10650	0	4022
23	11030	0	4023
24	11340	0	4024
25	11770	0	4025
26	12040	0	4026
27	12400	0	4027
28	12830	0	4028
29	13260	0	4029
30	13690	0	4030
31	14120	0	4031
32	14550	0	4032
33	14980	0	4033
34	15410	0	4034
35	16070	0	4035
36	16450	0	4036
37	16830	0	4037
38	17220	0	4038
39	17600	0	4039
40	18140	0	4040
41	18650	0	4041
42	19150	0	4042
43	19660	0	4043
44	20170	0	4044
45	20670	0	4045
46	21100	0	4046
47	21380	0	4047
48	21890	0	4048
49	22390	0	4049
50	22900	0	4050
51	23410	0	4051
52	23870	0	4052
53	24330	0	4053
54	24790	0	4054
55	25250	0	4055
56	25710	0	4056
57	26170	0	4057
58	26630	0	4058
59	26990	0	4059
60	27260	0	4060
61	27840	0	4061
62	28430	0	4062
63	29010	0	4063
64	29600	0	4064
65	30180	0	4065
66	30760	0	4066
67	31350	0	4067
68	31930	0	4068
69	32590	0	4069
70	33130	0	4070
71	33670	0	4071
72	34200	0	4072
73	34740	0	4073
74	35280	0	4074
75	35820	0	4075
76	36350	0	4076
77	37010	0	4077
78	37410	0	4078
79	38070	0	4079
80	38730	0	4080
81	39390	0	4081
82	40050	0	4082
83	40710	0	4083
84	41110	0	4084
85	41770	0	4085
86	42430	0	4086
87	43090	0	4087
88	43750	0	4088
89	44150	0	4089
90	44730	0	4090
91	45310	0	4091
92	45900	0	4092
93	46480	0	4093
94	47060	0	4094
95	47650	0	4095
96	48230	0	4096
97	48820	0	4097
98	49400	0	4098
99	49980	0	4099
100	50570	0	4100
101	51150	0	4101
102	51730	0	4102
103	52320	0	4103
104	52900	0	4104
105	53490	0	4105
106	54070	0	4106
107	54650	0	4107
108	55240	0	4108
109	55820	0	4109
110	56400	0	4110
111	56990	0	4111
112	57570	0	4112
113	58150	0	4113
114	58740	0	4114
115	59320	0	4115
116	59910	0	4116
117	60490	0	4117
118	61070	0	4118
119	61660	0	4119
120	62240	0	4120
121	62820	0	4121
122	63410	0	4122
123	63990	0	4123
124	64580	0	4124
125	65160	0	4125
126	65740	0	4126
127	66330	0	4127
128	66910	0	4128
129	67490	0	4129
130	68080	0	4130
131	68660	0	4131
132	69240	0	4132
133	69670	0	4133
134	70100	0	4134
135	70660	0	4135
136	71210	0	4136
137	71640	0	4137
138	72070	0	4138
139	72500	0	4139
140	72930	0	4140
141	73360	0	4141
142	73790	0	4142
143	74220	0	4143
144	74650	0	4144
145	75080	0	4145
146	75510	0	4146
147	75940	0	4147
148	76370	0	4148
149	76800	0	4149
150	77230	0	4150
151	77660	0	4151
152	78090	0	4152
153	78520	0	4153
154	78950	0	4154
155	79380	0	4155
156	79810	0	4156
157	80240	0	4157
158	80670	0	4158
159	81100	0	4159
160	81530	0	4160
161	81960	0	4161
162	82390	0	4162
163	82820	0	4163
164	83250	0	4164
165	83680	0	4165
166	84110	0	4166
167	84540	0	4167
168	84970	0	4168
169	85400	0	4169
170	85830	0	4170
171	3090	1	5001
172	3440	1	5002
173	3800	1	5003
174	4150	1	5004
175	4500	1	5005
176	4860	1	5006
177	5210	1	5007
178	5560	1	5008
