Id	Remarks	Name	ShowName	Level	NpcType	NpcFigure	Portrait	Scale	ParticleScale	CauseStiff	AcceptStiff	AcceptStiffEffect	AddHpMax	AddEpMax	AddAd	AddADp	AddMDp	AddCri	AddPow	AddBackHitPow	AddCrackPow	AddHpRecover	AddEpRecover	AddSpd	AddWalkSpd	AddFireDam	AddFireErd	AddIceDam	AddIceErd	AddPoisonDam	AddPoisonErd	AddWeight	AddRps	AddAttackRange	SuperArmor	ViewRange	GohomeRange	ReleaseTime	IsRange	SkillList	DeadSkill	CanMove	CanHitMove	CanRotate	Model	ActionId	BornEffect	BornEffectTime	BornAnimTime	BornEffect	MeetEnemyImpact	MeetEnemyStayTime	MeetEnemyWalkTime	TauntSound	HitSound	DeadSound	IsAttachControler	AttachNodeName	CanBomb	Cross2StandTime	Cross2RunTime	DeadAnimTime	AvoidanceRadius	ShapeType	ShapeParamNum	ShapeParamName0	ShapeParam0	ShapeParamName1	ShapeParam1	ShapeParamName2	ShapeParam2	ShapeParamName3	ShapeParam3	ShapeParamName4	ShapeParam4	ShapeParamName5	ShapeParam5	ShapeParamName6	ShapeParam6	ShapeParamName7	ShapeParam7
#					类型：0=普通npc；1=技能npc；2=机甲；3=坐骑；4=任务npc；5=pvp塔；6=掉落物品；7=交互npc；8=boss；9=精英;10=场景物体	体型：0=Normal；1=彭胖				是否会造成硬直	是否会接受硬直																																					#单位秒， -1为永久存在							用|隔开，可配置多个																										
#101-200 怪物技能召唤物；200- 掉落包						0																																																																											
101	飞行投掷物	飞行投掷物		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE			TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
102	刺客影子	刺客影子		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE			TRUE	TRUE	TRUE		5													FALSE				1	Circle	1	半径	0.3														
103	萨菲勒黑洞	萨菲勒黑洞		1	1					TRUE	FALSE		10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	380708		TRUE	TRUE	TRUE	Monster_FX/Boss/SFL/6_Mon_SFL_Heidong_01														FALSE				1	Circle	1	半径	0.3														
104	法师雪球	法师雪球		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	130316		TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
105	法师雪球地面	法师雪球地面		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	130317		TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
106	法师火焰分身1	法师火焰分身1		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	130412		TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
107	法师火焰分身2	法师火焰分身2		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	130413		TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
108	法师火焰分身3	法师火焰分身3		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	130414		TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
109	法师火焰分身4	法师火焰分身4		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	130415		TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
110	法师寒冰走廊	法师寒冰走廊		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	130816		TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
111	法师寒冰分身1	法师寒冰分身1		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	130819		TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
112	法师寒冰分身2	法师寒冰分身2		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	130820		TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
113	法师凤凰	法师凤凰		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	130712		TRUE	TRUE	TRUE															FALSE				1	Circle	1	半径	0.3														
