Level	ConsumeExp	RebornTime
1	40	10
2	80	10
3	120	10
4	160	10
5	200	10
6	240	10
7	280	10
8	320	10
9	400	10
10	480	10
11	560	10
12	640	10
13	720	10
14	800	10
15	880	10
16	1000	10
17	1120	10
18	1280	10
19	1520	10
20	1808	10
21	2480	10
22	3312	10
23	4392	10
24	5832	10
25	7680	10
26	9984	10
27	12792	10
28	16152	10
29	20112	10
30	24720	10
31	30024	10
32	36072	10
33	42912	10
34	50592	10
35	59160	10
36	68664	10
37	79152	10
38	90672	10
39	103272	10
40	116328	10
41	129848	10
42	143840	10
43	158312	10
44	173272	10
45	188728	10
46	204688	10
47	221160	10
48	238152	10
49	255672	10
50	273728	10
51	292328	10
52	311480	10
53	331192	10
54	351472	10
55	372328	10
56	393768	10
57	415800	10
58	438432	10
59	461672	10
