Id	Name	ChapterName	Type	SubType	Chapter	Order	UnitFile	SceneLogicFile	StoryDslFile	ClientSceneFile	ObstacleFile	BlockInfoFile	TiledDataScale	ReachableSet	Description	DropId	BkMusic	BkMusicVolume	StoryMusic	StoryMusicVolume	CompletedReward	CompletedTime	CompletedHitCount	CostStamina	RecommendFighting	AtlasPath	SceneIconName	BossLinkId	RecoverHpCoefficient	RecoverMpCoefficient	RelatedMainCity
#Type=0-主城；1-单人PVE；2-多人PVE；3-单人PVP SubType=0-剧情/普通场景；1-精英；2-千层塔；3-多人试练副本																		#0-1		#0-1	#几星通关奖励	完成时间，用于判断二星通关	受击次数，用于判断三星通关								
#Loading场景																															
0	Loading		4	-1	-1	-1				Loading																					
#主线剧情关卡																															
#主城																															
#1000	序章主城 星坠城-StarFall		0	0	-1	-1	Public/Scenes/Scene_1000/Unit.txt	Public/Scenes/Scene_1000/SceneLogic.txt	Public/Scenes/Scene_1000/Story.dsl	WangGuoJun_ChengZhen_01	Public/Scenes/MapData_1100/Scene.tmx	Public/Scenes/MapData_1100/Scene.map	16				Sound/Scene/amb_MainCity									UI/AtlasPrefab/guankatu01	1				
1010	第一章主城 新手村		0	0	-1	-1	Public/Scenes/Scene_1010/Unit.txt	Public/Scenes/Scene_1010/SceneLogic.txt	Public/Scenes/Scene_1010/Story.dsl	UPBR001	Public/Scenes/MapData_1122/Scene.tmx	Public/Scenes/MapData_1122/Scene.map	16				Sound/Scene/Amb_XingZhuiCheng_01		Sound/Scene/DF_ZhuCheng_Music	0.7						UI/AtlasPrefab/guankatu02	1				
1020	第二章主城		0	0	-1	-1	Public/Scenes/Scene_1020/Unit.txt	Public/Scenes/Scene_1020/SceneLogic.txt	Public/Scenes/Scene_1020/Story.dsl	UPBR_daytime001	Public/Scenes/MapData_1212/Scene.tmx	Public/Scenes/MapData_1212/Scene.map	16				Sound/Scene/amb_MainCity		Sound/Scene/DF_ZhuCheng_Music	0.7						UI/AtlasPrefab/guankatu03	1				
#1030	第三章主城 星坠城-StarFall		0	0	-1	-1	Public/Scenes/Scene_1030/Unit.txt	Public/Scenes/Scene_1030/SceneLogic.txt	Public/Scenes/Scene_1030/Story.dsl	WangGuoJun_ChengZhen_01	Public/Scenes/MapData_1100/Scene.tmx	Public/Scenes/MapData_1100/Scene.map	16				Sound/Scene/amb_MainCity		Sound/Scene/DF_ZhuCheng_Music	0.7						UI/AtlasPrefab/guankatu04	1				
#1040	第四章主城		0	0	-1	-1	Public/Scenes/Scene_1040/Unit.txt	Public/Scenes/Scene_1040/SceneLogic.txt	Public/Scenes/Scene_1040/Story.dsl	BoDe_03	Public/Scenes/MapData_1029/Scene.tmx	Public/Scenes/MapData_1029/Scene.map	16				Sound/Scene/amb_MainCity		Sound/Scene/DF_ZhuCheng_Music	0.7						UI/AtlasPrefab/guankatu05	1				
