Id	GoldSum	GoldMin	GoldMax	Exp	Diamond	PartnerId	HpCount	HpPercent	MpCount	MpPercent	GoldModel	GoldParticle	HpModel	HpParticle	MpModel	MpParticle	ItemCount	WarriorItem0	RogueItem0	MageItem0	Count0	Weight0	WarriorItem1	RogueItem1	MageItem1	Count1	Weight1	WarriorItem2	RogueItem2	MageItem2	Count2	Weight2	WarriorItem3	RogueItem3	MageItem3	Count3	Weight3
1	10	1	1	10			1	15	3	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02																					
1010	100	1	2	40			4	15	3	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	916011	916011	916011	10	5	916011	916011	916011	10	5	916011	916011	916011	10	5	916011	916011	916011	10	5
1011	100	1	2	40			4	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	50	0	101	101	101	50	5	14102	14102	14102	1	0	23105	23105	23105	1	0
1012	0	0	0	0			4	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	14105	14105	14105	1	0	101	101	101	50	5	14102	14102	14102	1	0	101001	101001	101001	2	0
1013	0	0	0	40			4	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	14105	14105	14105	1	0	23105	23105	23105	1	0	23106	23106	23106	1	0	101	101	101	50	5
1014	100	1	9	40			4	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	50	5	23101	23107	23108	1	0	101	101	101	50	35	14102	14102	14102	0	0
1015	100	1	12	40			4	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	23106	23106	23106	1	0	101	101	101	50	15	101	101	101	50	15	400001	400001	400001	1	8
1016	100	1	15	40			4	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24104	24104	24104	1	0	101	101	101	50	15	101	101	101	50	15	400001	400001	400001	1	8
1017	100	1	18	40			4	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24105	24105	24105	1	0	101	101	101	50	15	101	101	101	50	15	400001	400001	400001	1	8
1018	100	1	21	40			4	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24106	24106	24106	1	0	101	101	101	50	15	101	101	101	50	15	400001	400001	400001	1	8
1019	112	1	400	40			4	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24101	24107	24108	1	0	101	101	101	56	5	101	101	101	50	15	400001	400001	400001	1	8
1020	128	1	16	40			4	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24105	24105	24105	1	0	101	101	101	64	5	410001	410001	410001	1	5	400001	400001	400001	1	8
1021	144	1	18	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	84	7	101	101	101	94	7	101	101	101	72	15	400001	400001	400001	1	8
1022	160	1	20	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	23104	23104	23104	1	0	101	101	101	80	15	101	101	101	80	15	400001	400001	400001	1	8
1023	160	1	20	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	92	7	101	101	101	102	7	101	101	101	80	15	400001	400001	400001	1	8
1024	176	1	22	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	23105	23105	23105	1	7	101	101	101	88	15	105	105	105	2	15	400001	400001	400001	1	8
1025	192	1	24	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	100	7	101	101	101	110	7	105	105	105	2	15	400001	400001	400001	1	8
1026	208	1	26	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	23103	23103	23103	1	7	101	101	101	104	15	105	105	105	2	15	400001	400001	400001	1	8
1027	224	1	28	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	23102	23102	23102	1	7	101	101	101	112	15	105	105	105	2	15	400001	400001	400001	1	8
1028	240	1	30	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	108	7	101	101	101	118	7	105	105	105	2	15	400001	400001	400001	1	8
1029	256	1	32	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	23105	23105	23105	1	7	101	101	101	128	15	105	105	105	2	15	400001	400001	400001	1	8
1030	272	1	34	40			3	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4																				
1031	272	1	34	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35104	35104	35104	1	0	101	101	101	156	10	400001	400001	400001	3	5	105	105	105	2	25
1032	288	1	36	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	164	5	101	101	101	174	10	400001	400001	400001	3	5	105	105	105	2	25
1033	304	1	38	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35103	35103	35103	1	0	101	101	101	178	10	400001	400001	400001	3	5	105	105	105	2	25
1034	320	1	40	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	172	5	101	101	101	182	10	400001	400001	400001	3	5	105	105	105	2	25
1035	336	1	42	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	190	5	101	101	101	200	10	400001	400001	400001	3	5	105	105	105	2	25
1036	352	1	44	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35105	35105	35105	1	0	34101	34107	34108	1	10	400001	400001	400001	3	5	105	105	105	2	25
1037	368	1	46	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35101	35107	35108	1	0	34103	34103	34103	1	10	400001	400001	400001	3	5	101	101	101	184	25
1038	384	1	48	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35102	35102	35102	1	0	34102	34102	34102	1	10	400001	400001	400001	3	5	101	101	101	192	25
1039	400	1	50	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35106	35106	35106	1	0	34104	34104	34104	1	10	400001	400001	400001	3	5	101001	101001	101001	2	25
1040	416	1	52	40																																	
1041	416	1	52	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36102	36102	36102	1	0	101	101	101	208	15	400001	400001	400001	3	5	101001	101001	101001	2	15
1042	416	1	52	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36105	36105	36105	1	0	101	101	101	208	15	400001	400001	400001	3	5	101001	101001	101001	2	15
1043	416	1	52	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36101	36107	36108	1	0	101	101	101	208	15	400001	400001	400001	3	5	101001	101001	101001	2	15
1044	432	1	54	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36103	36103	36103	1	0	101	101	101	216	15	400001	400001	400001	3	5	101001	101001	101001	2	15
1045	448	1	56	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36106	36106	36106	1	0	101	101	101	224	15	400001	400001	400001	3	5	101001	101001	101001	2	15
1046	464	1	58	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36104	36104	36104	1	0	101	101	101	232	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1047	480	1	60	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	230	5	101	101	101	240	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1048	496	1	62	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	238	5	101	101	101	248	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1049	512	1	64	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	246	5	101	101	101	256	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1050	528	1	66	40																																	
1051	528	1	66	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	254	5	105	105	105	2	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1052	544	1	68	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	262	5	105	105	105	2	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1053	560	1	70	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	270	5	105	105	105	2	15	400001	400001	400001	3	5	101002	101002	101002	2	15
