Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	32.41666 159.9217 13.01178		72.66785	FALSE		0																
20002	2	3	32.41666 159.9217 13.01178		72.66785	FALSE		0																
#A区																								
1001	102401	2	46.34718 159.9217 19.64141		242.737	FALSE	15|16	20001		0														
1002	102401	2	51.57477 159.9217 15.83942		242.737	FALSE	15|16	20001		0														
1003	102401	2	57.51521 159.9217 16.96811		242.737	FALSE	15|16	20001		0														
1004	102401	2	56.50534 159.9217 24.03724		242.737	FALSE	15|16	20001		0														
1005	102401	2	58.75159 159.9217 31.65207		207.0847	FALSE	15|16	20001		0														
1101	102405	2	39.58451 159.9217 20.25816		129.2866	FALSE	15|16	20001		0														
1102	102405	2	53.49126 159.9217 11.47032		346.1986	FALSE	15|16	20001		0														
1103	102405	2	49.45074 159.9217 23.99782		155.0507	FALSE	15|16	20001		0														
1104	102405	2	59.73894 159.9217 12.11451		329.7797	FALSE	15|16	20001		0														
1201	102405	2	50.44145 159.9217 24.40568		152.5975	FALSE	15|16	20001		0														
1202	102405	2	62.2585 159.9217 18.95499		281.4451	FALSE	15|16	20001		0														
1203	102405	2	55.34268 159.9217 26.68128		156.493	FALSE	15|16	20001		0														
1204	102405	2	60.90801 159.9217 25.97838		217.409	FALSE	15|16	20001		0														
#B区																								
2001	102401	2	64.61163 158.3776 47.25045		196.7728	FALSE	15|16	20001		0														
2002	102401	2	69.73656 158.3776 52.55161		232.6216	FALSE	15|16	20001		0														
2003	102401	2	67.877 158.3776 65.35352		181.5008	FALSE	15|16	20001		0														
2004	102401	2	59.72474 158.3776 66.30779		149.9446	FALSE	15|16	20001		0														
2005	102401	2	65.30309 158.3776 72.44491		167.2035	FALSE	15|16	20001		0														
2006	102401	2	56.27913 158.3776 73.68286		134.5244	FALSE	15|16	20001		0														
2101	102406	2	56.11818 158.3776 60.31139		37.28809	FALSE	15|16	20001		0														
2102	102406	2	66.7825 158.3776 75.2897		217.9917	FALSE	15|16	20001		0														
2103	102405	2	62.35459 158.3776 59.16355		9.491214	FALSE	15|16	20001		0														
2104	102405	2	68.7601 158.3776 69.35949		239.1686	FALSE	15|16	20001		0														
2201	102406	2	55.70715 158.3776 65.48226		57.02893	FALSE	15|16	20001		0														
2202	102406	2	61.13274 158.3776 81.4505		195.5674	FALSE	15|16	20001		0														
2203	102405	2	51.53686 158.3776 73.55924		122.7814	FALSE	15|16	20001		0														
2204	102405	2	66.66181 158.3776 74.93473		225.326	FALSE	15|16	20001		0														
#C区																								
3001	102407	2	28.72418 154.1145 55.03843		98.07364	FALSE	15|16	20004		0														
3002	102403	2	44.12664 156.3144 59.87201		352.7085	FALSE	15|16	20001		0														
3003	102403	2	37.75032 154.3942 52.84915		37.78058	FALSE	15|16	20001		0														
3004	102403	2	25.5923 154.3942 58.56661		107.7454	FALSE	15|16	20001		0														
3005	102402	2	41.45443 156.3438 62.17918		43.65145	FALSE	15|16	20001		0														
3006	102402	2	33.51277 154.1612 57.27165		108.3652	FALSE	15|16	20001		0														
3007	102402	2	31.60688 154.1612 50.62432		85.11269	FALSE	15|16	20001		0														
3008	102402	2	21.89337 154.3942 54.44358		94.29504	FALSE	15|16	20001		0														
3101	102406	2	34.60571 154.3942 45.20951		348.6237	FALSE	15|16	20001		0														
3102	102405	2	26.0762 154.1612 61.32434		146.1721	FALSE	15|16	20001		0														
3103	102405	2	20.64159 154.1612 58.88898		111.3063	FALSE	15|16	20001		0														
3201	102406	2	34.32674 154.3942 61.06163		196.628	FALSE	15|16	20001		0														
3202	102406	2	21.04405 154.1612 54.60759		86.48019	FALSE	15|16	20001		0														
3203	102405	2	34.46261 154.1612 45.35035		350.899	FALSE	15|16	20001		0														
3204	102405	2	20.99545 154.1612 62.3623		142.0654	FALSE	15|16	20001		0														
#剧情																								
10001	102499	1	29.08978 159.9217 13.33898		77.12117	TRUE		20001		0														
10002	102498	1	34.37812 159.9217 14.80418		77.91377	TRUE		20001		0														
10003	102497	1	30.85693 159.9217 11.14156		71.7678	TRUE		20001		0														
