Id	LinkId	Desc	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1		3	15.82581 160.1041 12.99249		39.27853	FALSE		0																
20002	2		3	15.82581 160.1041 12.99249		40.27853	FALSE		0																
#A区																									
1001	105603	圣卫军剑盾兵	2	33.60406 160.4964 27.7719		145.5797	FALSE	15|16|17	20001		0														
1002	105603	圣卫军剑盾兵	2	36.34855 160.4965 24.23888		251.7446	FALSE	15|16|17	20001		0														
1003	105604	壮汉加农炮精英怪	2	36.51553 160.4964 27.47501		284.6849	FALSE	15|16|17	20003		0														
1004	105602	圣卫军飞轮兵	2	36.19422 160.4964 30.81365		265.5764	FALSE	15|16|17	20002		0														
1005	105602	圣卫军飞轮兵	2	40.16461 160.4964 28.36575		262.2916	FALSE	15|16|17	20002		0														
1006	105602	圣卫军飞轮兵	2	39.73175 160.4964 32.92086		297.8356	FALSE	15|16|19	20002		0														
1007	105602	圣卫军飞轮兵	2	43.01005 160.4964 29.13654		225.1528	FALSE	15|16|20	20002		0														
1008	105601	托赖辟玛弩箭兵	2	38.36602 160.5008 20.07794		145.5797	FALSE	15|16|17	20002		0														
1009	105601	托赖辟玛弩箭兵	2	28.2383 160.4964 30.29819		251.7446	FALSE	15|16|17	20002		0														
1010	105606	铁栅栏	2	18.69201 160.4964 18.86535		217.4395	TRUE		0		0														
1011	105606	铁栅栏	2	22.84688 160.4964 15.74746		217.1567	TRUE		0		0														
1012	105606	铁栅栏	2	26.08797 160.4964 25.93087		259.0756	TRUE		0		0														
1013	105606	铁栅栏	2	30.1244 160.4964 20.28117		223.1342	TRUE		0		0														
1014	105606	铁栅栏	2	30.22536 160.4964 26.52751		255.3495	TRUE		0		0														
1015	105606	铁栅栏	2	34.26265 160.4964 20.5532		226.219	TRUE		0		0														
#B区																									
2001	105605	托赖辟玛弩箭兵BOSS（技能，连弩）	2	63.4762 160.4964 56.0341		0	FALSE	15|16|17	20004		0														
2002	105603	圣卫军剑盾兵	2	59.36848 160.4964 59.70035		88.8821	FALSE	15|16|17	20001		0														
2003	105603	圣卫军剑盾兵	2	66.52251 160.4964 61.54807		229.5324	FALSE	15|16|17	20001		0														
2004	105602	圣卫军飞轮兵	2	74.0448 160.4964 56.95972		242.4224	FALSE	15|16|17	20001		0														
2005	105602	圣卫军飞轮兵	2	70.92769 160.4964 60.9793		216.8707	FALSE	15|16|17	20001		0														
2006	105602	圣卫军飞轮兵	2	74.03362 160.4964 52.17755		254.8761	FALSE	15|16|17	20001		0														
2007	105601	托赖辟玛弩箭兵	2	52.44833 160.4964 44.50478		197.7492	FALSE	15|16|17	20002		0														
2008	105604	壮汉加农炮精英怪	2	56.00663 160.4964 43.44132		210.8017	FALSE	15|16|17	20001		0														
2009	105601	托赖辟玛弩箭兵	2	58.82387 160.4964 41.94786		227.8999	FALSE	15|16|17	20002		0														
2010	105601	托赖辟玛弩箭兵	2	61.02916 160.4964 40.48171		242.7063	FALSE	15|16|17	20002		0														
2011	105602	圣卫军飞轮兵	2	62.94748 160.4964 46.3868		236.0333	FALSE	15|16|17	20002		0														
2012	105602	圣卫军飞轮兵	2	65.85005 160.4964 44.54303		259.5308	FALSE	15|16|17	20002		0														
2013	105602	圣卫军飞轮兵	2	69.34785 160.4964 47.07782		248.7771	FALSE	15|16|17	20002		0														
2014	105602	圣卫军飞轮兵	2	66.62069 160.4964 49.56881		234.0618	FALSE	15|16|17	20002		0														
2015	105606	铁栅栏	2	68.27454 160.4964 43.13887		134.315	TRUE		0		0														
2016	105606	铁栅栏	2	72.41896 160.4964 46.23043		143.2787	TRUE		0		0														
2017	105606	铁栅栏	2	53.13211 160.4964 54.25044		152.4587	TRUE		0		0														
2018	105606	铁栅栏	2	56.65244 160.4964 57.18847		97.75336	TRUE		0		0														
2019	105606	铁栅栏	2	52.87819 160.4964 40.30618		197.6622	TRUE		0		0														
2020	105606	铁栅栏	2	57.796 160.4964 38.9985		211.8516	TRUE		0		0														
