Id	LinkId	Des	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1		3	25.03056 180 22.54066		92.70799	FALSE		0																
20002	2		3	25.03056 180 22.54066		92.70799	FALSE		0																
#  NPC																									
1001	4041001	锁链	3	32.92 151 28.80		0	FALSE	15|16	0		0														
9001	4041000	墙	3	18.36 151 30.499		270	FALSE	15|16	0		0														
9002	4041000	墙	3	33.58 151 43.206		0	FALSE	15|16	0		0														
9003	4041000	墙	3	47.74 151 27.88		90	FALSE	15|16	0		0														
9004	4041000	墙	3	33.012 151 13.956		180	FALSE	15|16	0		0														
#  第一大波  ########################################																									
# 1-1																									
1002	4041002	托赖辟玛剑盾兵	2	24.07054 150.565 20.44357		0	FALSE	15|16	20001		0														
1003	4041002	托赖辟玛剑盾兵	2	28.71635 150.565 20.44357		0	FALSE	15|16	20001		0														
1004	4041002	托赖辟玛剑盾兵	2	38.36887 150.565 40.60475		180	FALSE	15|16	20001		0														
1005	4041002	托赖辟玛剑盾兵	2	28.71634 150.565 40.92041		180	FALSE	15|16	20001		0														
1006	4041002	托赖辟玛剑盾兵	2	45.18634 150.565 38.32159		270	FALSE	15|16	20001		0														
1007	4041002	托赖辟玛剑盾兵	2	45.16365 150.565 28.06129		270	FALSE	15|16	20001		0														
1008	4041002	托赖辟玛剑盾兵	2	19.55593 150.565 19.00171		90	FALSE	15|16	20001		0														
# 1-2																									
1102	4041002	托赖辟玛剑盾兵	2	19.55593 150.565 19.00171		90	FALSE	15|16	20001		0														
1103	4041002	托赖辟玛剑盾兵	2	23.64742 150.565 38.44904		90	FALSE	15|16	20001		0														
1104	4041002	托赖辟玛剑盾兵	2	19.5206 150.565 23.64739		90	FALSE	15|16	20001		0														
1105	4041002	托赖辟玛剑盾兵	2	41.09485 150.565 18.87426		270	FALSE	15|16	20001		0														
1106	4041002	托赖辟玛剑盾兵	2	45.32303 150.565 23.51247		270	FALSE	15|16	20001		0														
1107	4041003	托赖辟玛弩箭兵	2	38.50883 150.565 36.64918		180	FALSE	15|16	20002		0														
1108	4041003	托赖辟玛弩箭兵	2	33.22689 150.565 40.78514		180	FALSE	15|16	20002		0														
# 1-3																									
1202	4041002	托赖辟玛剑盾兵	2	19.55593 150.565 19.00171		90	FALSE	15|16	20001		0														
1203	4041002	托赖辟玛剑盾兵	2	23.64742 150.565 38.44904		90	FALSE	15|16	20001		0														
1204	4041002	托赖辟玛剑盾兵	2	19.5206 150.565 23.64739		90	FALSE	15|16	20001		0														
1205	4041003	托赖辟玛弩箭兵	2	24.07053 150.565 40.92041		180	FALSE	15|16	20002		0														
1206	4041003	托赖辟玛弩箭兵	2	38.50883 150.565 36.64918		180	FALSE	15|16	20002		0														
1207	4041003	托赖辟玛弩箭兵	2	33.22689 150.565 40.78514		180	FALSE	15|16	20002		0														
1208	4041003	托赖辟玛弩箭兵	2	23.71228 150.565 36.82946		180	FALSE	15|16	20002		0														
#  第二大波  ########################################																									
# 2-1																									
2002	4041002	托赖辟玛剑盾兵	2	19.55593 150.565 19.00171		90	FALSE	15|16	20001		0														
2003	4041002	托赖辟玛剑盾兵	2	23.64742 150.565 38.44904		90	FALSE	15|16	20001		0														
2004	4041002	托赖辟玛剑盾兵	2	19.5206 150.565 23.64739		90	FALSE	15|16	20001		0														
2005	4041003	托赖辟玛弩箭兵	2	24.07053 150.565 40.92041		180	FALSE	15|16	20002		0														
2006	4041003	托赖辟玛弩箭兵	2	38.50883 150.565 36.64918		180	FALSE	15|16	20002		0														
2007	4041003	托赖辟玛弩箭兵	2	33.22689 150.565 40.78514		180	FALSE	15|16	20002		0														
2008	4041003	托赖辟玛弩箭兵	2	23.71228 150.565 36.82946		180	FALSE	15|16	20002		0														
# 2-2																									
2102	4041008	壮汉大锤	2	24.07054 150.565 20.44357		0	FALSE	15|16	20001		0														
2103	4041002	托赖辟玛剑盾兵	2	28.71635 150.565 20.44357		0	FALSE	15|16	20001		0														
2104	4041002	托赖辟玛剑盾兵	2	33.22689 150.565 20.3083		0	FALSE	15|16	20001		0														
2105	4041002	托赖辟玛剑盾兵	2	38.36887 150.565 20.12791		0	FALSE	15|16	20001		0														
2106	4041003	托赖辟玛弩箭兵	2	28.67645 150.565 16.18022		0	FALSE	15|16	20002		0														
2107	4041003	托赖辟玛弩箭兵	2	33.22637 150.565 16.30502		0	FALSE	15|16	20002		0														
2108	4041003	托赖辟玛弩箭兵	2	38.50883 150.565 16.17234		0	FALSE	15|16	20002		0														
# 2-3																									
2202	4041002	托赖辟玛剑盾兵	2	45.18634 150.565 38.32159		270	FALSE	15|16	20001		0														
2203	4041002	托赖辟玛剑盾兵	2	45.16365 150.565 28.06129		270	FALSE	15|16	20001		0														
2204	4041003	托赖辟玛弩箭兵	2	45.25617 150.565 33.34461		270	FALSE	15|16	20002		0														
2205	4041003	托赖辟玛弩箭兵	2	41.16048 150.565 28.03138		270	FALSE	15|16	20002		0														
2206	4041003	托赖辟玛弩箭兵	2	41.05952 150.565 23.51994		270	FALSE	15|16	20002		0														
2207	4041003	托赖辟玛弩箭兵	2	45.18837 150.565 18.54712		270	FALSE	15|16	20002		0														
2208	4041003	托赖辟玛弩箭兵	2	41.48922 150.565 38.18279		270	FALSE	15|16	20002		0														
#  第三大波  ########################################																									
# 3-1																									
3002	4041004	圣卫军长矛兵	2	38.36887 150.565 40.60475		180	FALSE	15|16	20001		0														
3003	4041004	圣卫军长矛兵	2	33.22689 150.565 20.3083		0	FALSE	15|16	20001		0														
3004	4041004	圣卫军长矛兵	2	38.36887 150.565 20.12791		0	FALSE	15|16	20001		0														
3005	4041005	圣卫军飞轮兵	2	24.07053 150.565 40.92041		180	FALSE	15|16	20002		0														
3006	4041005	圣卫军飞轮兵	2	38.50883 150.565 36.64918		180	FALSE	15|16	20002		0														
3007	4041005	圣卫军飞轮兵	2	38.50883 150.565 16.17234		0	FALSE	15|16	20002		0														
3008	4041005	圣卫军飞轮兵	2	43.48622 150.565 16.20431		0	FALSE	15|16	20002		0														
# 3-2																									
3102	4041004	圣卫军长矛兵	2	38.36887 150.565 40.60475		180	FALSE	15|16	20001		0														
3103	4041004	圣卫军长矛兵	2	28.71634 150.565 40.92041		180	FALSE	15|16	20001		0														
3104	4041004	圣卫军长矛兵	2	19.5206 150.565 23.64739		90	FALSE	15|16	20001		0														
3105	4041005	圣卫军飞轮兵	2	38.50883 150.565 36.64918		180	FALSE	15|16	20002		0														
3106	4041005	圣卫军飞轮兵	2	33.22689 150.565 40.78514		180	FALSE	15|16	20002		0														
3107	4041005	圣卫军飞轮兵	2	23.62473 150.565 28.18875		90	FALSE	15|16	20002		0														
3108	4041005	圣卫军飞轮兵	2	19.9503 150.565 38.31024		90	FALSE	15|16	20002		0														
# 3-3																									
3202	4041008	壮汉大锤	2	24.07054 150.565 20.44357		0	FALSE	15|16	20001		0														
3203	4041004	圣卫军长矛兵	2	38.36887 150.565 40.60475		180	FALSE	15|16	20001		0														
3204	4041004	圣卫军长矛兵	2	19.55593 150.565 19.00171		90	FALSE	15|16	20001		0														
3205	4041005	圣卫军飞轮兵	2	23.78411 150.565 23.63992		90	FALSE	15|16	20002		0														
3206	4041005	圣卫军飞轮兵	2	38.50883 150.565 36.64918		180	FALSE	15|16	20002		0														
3207	4041005	圣卫军飞轮兵	2	38.50883 150.565 16.17234		0	FALSE	15|16	20002		0														
3208	4041005	圣卫军飞轮兵	2	43.48622 150.565 16.20431		0	FALSE	15|16	20002		0														
#  第四大波  ########################################																									
# 4-1																									
4002	4041006	影刃刺客	2	24.07054 150.565 20.44357		0	FALSE	15|16	20005		0				200301										
4003	4041006	影刃刺客	2	23.64742 150.565 38.44904		90	FALSE	15|16	20005		0				200301										
4004	4041006	影刃刺客	2	33.22689 150.565 20.3083		0	FALSE	15|16	20005		0				200301										
4005	4041006	影刃刺客	2	38.36887 150.565 40.60475		180	FALSE	15|16	20005		0				200301										
4006	4041006	影刃刺客	2	28.71634 150.565 40.92041		180	FALSE	15|16	20005		0				200301										
4007	4041007	影刃飞镖	2	41.09485 150.565 18.87426		270	FALSE	15|16	20005		0				200401										
4008	4041007	影刃飞镖	2	45.32303 150.565 23.51247		270	FALSE	15|16	20005		0				200401										
# 4-2																									
4102	4041006	影刃刺客	2	19.55593 150.565 19.00171		90	FALSE	15|16	20005		0				200301										
4103	4041006	影刃刺客	2	23.64742 150.565 38.44904		90	FALSE	15|16	20005		0				200301										
4104	4041006	影刃刺客	2	45.16365 150.565 28.06129		270	FALSE	15|16	20005		0				200301										
4105	4041007	影刃飞镖	2	41.09485 150.565 18.87426		270	FALSE	15|16	20005		0				200401										
4106	4041007	影刃飞镖	2	19.76286 150.565 33.302		90	FALSE	15|16	20005		0				200401										
4107	4041007	影刃飞镖	2	33.22689 150.565 20.3083		0	FALSE	15|16	20005		0				200401										
4108	4041007	影刃飞镖	2	38.36887 150.565 20.12791		0	FALSE	15|16	20005		0				200401										
# 4-3																									
4202	4041006	影刃刺客	2	19.55593 150.565 19.00171		90	FALSE	15|16	20005		0				200301										
4203	4041006	影刃刺客	2	23.64742 150.565 38.44904		90	FALSE	15|16	20005		0				200301										
4204	4041006	影刃刺客	2	33.22689 150.565 20.3083		0	FALSE	15|16	20005		0				200301										
4205	4041006	影刃刺客	2	38.36887 150.565 20.12791		0	FALSE	15|16	20005		0				200301										
4206	4041007	影刃飞镖	2	43.37551 150.565 40.37923		180	FALSE	15|16	20005		0				200401										
4207	4041007	影刃飞镖	2	41.09485 150.565 18.87426		270	FALSE	15|16	20005		0				200401										
4208	4041007	影刃飞镖	2	45.32303 150.565 23.51247		270	FALSE	15|16	20005		0				200401										
#  第五大波  ########################################																									
# 5-1																									
5002	4041008	壮汉大锤	2	24.07054 150.565 20.44357		0	FALSE	15|16	20001		0														
5003	4041004	圣卫军长矛兵	2	28.71635 150.565 20.44357		0	FALSE	15|16	20001		0														
5004	4041004	圣卫军长矛兵	2	33.22689 150.565 20.3083		0	FALSE	15|16	20001		0														
5005	4041005	圣卫军飞轮兵	2	23.71228 150.565 16.35262		0	FALSE	15|16	20002		0														
5006	4041005	圣卫军飞轮兵	2	28.67645 150.565 16.18022		0	FALSE	15|16	20002		0														
5007	4041005	圣卫军飞轮兵	2	33.22637 150.565 16.30502		0	FALSE	15|16	20002		0														
5008	4041005	圣卫军飞轮兵	2	38.50883 150.565 16.17234		0	FALSE	15|16	20002		0														
# 5-2																									
5102	4041004	圣卫军长矛兵	2	24.07054 150.565 20.44357		0	FALSE	15|16	20001		0														
5103	4041004	圣卫军长矛兵	2	28.71635 150.565 20.44357		0	FALSE	15|16	20001		0														
5104	4041005	圣卫军飞轮兵	2	33.22636 150.565 36.78186		180	FALSE	15|16	20002		0														
5105	4041005	圣卫军飞轮兵	2	24.07053 150.565 40.92041		180	FALSE	15|16	20002		0														
5106	4041005	圣卫军飞轮兵	2	41.16048 150.565 28.03138		270	FALSE	15|16	20002		0														
5107	4041005	圣卫军飞轮兵	2	41.05952 150.565 23.51994		270	FALSE	15|16	20002		0														
5108	4041005	圣卫军飞轮兵	2	23.78411 150.565 23.63992		90	FALSE	15|16	20002		0														
# 5-3																									
5202	4041008	壮汉大锤	2	19.55593 150.565 19.00171		90	FALSE	15|16	20001		0														
5203	4041008	壮汉大锤	2	45.18634 150.565 38.32159		270	FALSE	15|16	20001		0														
5204	4041005	圣卫军飞轮兵	2	23.64945 150.565 18.67457		90	FALSE	15|16	20002		0														
5205	4041005	圣卫军飞轮兵	2	23.71725 150.565 33.47206		90	FALSE	15|16	20002		0														
5206	4041005	圣卫军飞轮兵	2	45.25617 150.565 33.34461		270	FALSE	15|16	20002		0														
5207	4041005	圣卫军飞轮兵	2	41.16048 150.565 28.03138		270	FALSE	15|16	20002		0														
5208	4041005	圣卫军飞轮兵	2	23.71228 150.565 36.82946		180	FALSE	15|16	20002		0														
