Id	LogicId	GfxLogicId	Description	ImpactType	ImpactTime	BreakSuperArmor	BreakParry	IgnoreBlock	TargetFigure	DamageType	ElementType	DamageValue	DamageRate	LevelRate	BuffDataId	MaxRank	AnimationInfo	LockFrameInfo	AnimationType	MoveMode	CurveMove	AdjustPoint	AdjustAppend	AdjustDegreeXZ	AdjustDegreeY	MaxDist	FallDownTime	OnGroundTime	GetUpTime	IsDeadDisappear	CanBeCancel	IsAbsorbHurt	IsReflect	IsDamageDisappear	IsFightDisappear	IsShootDisappear	IsSkillDisappear	Effect0	Effect1	Effect2	Effect3	Effect4	HitSoundProb	ParamNum	ParamDesc0	Param0	ParamDesc1	Param1	ParamDesc2	Param2	ParamDesc3	Param3	ParamDesc4	Param4	ParamDesc5	Param5	ParamDesc6	Param6	ParamDesc7	Param7
#	逻辑ID：1=常规；2=霸体buff；3=伤害免疫buff;4=切换技能；5=去除impact；6=伤害调整Impact；15=治疗;16=不死	表现ID：0=无；1=硬直；2=击飞；3=击倒；4=抓取。		类型：1=buff；2=非buff；3=被动		是否破霸体		是否无视character之间的阻挡，默认为true	目标体型	伤害类型：0=物理伤害；1=魔法伤害。	元素类型： 1=火；2=冰；3=毒。	固定伤害	伤害系数	等级系数	buffID，索引自BuffData.txt	buff最大层数	动作信息：startTime [time speed]+	定帧信息：startTime [time speed]+	动作类型：0=正面受击，1=右面受击，2=左面受击， 可配置为 0|1|2 ，为随机选择一个播放。【只有在硬直时起作用】。	移动方式：0=施法者方向；1=施法者到受击者方向	starttime， [movetime， speedx， speedy， speedz， accelx， accely， accelz]+		调节附加	水平调整	垂直调整	最大位移		仅击飞击倒有效										特效：当配置多个id时，随机选择一个播放。索引自EffectData.txt	特效：索引自EffectData.txt	特效：索引自EffectData.txt	特效：索引自EffectData.txt	特效：索引自EffectData.txt																		
701	1	4	测试-抓取效果	1	5000	TRUE			0|1|2	1		0		0.1	0	0			1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
702	5	0	测试-停止抓取效果	1	5000	FALSE			0|1|2	1		0		0.1	0	0			1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	停止逻辑编号	4	类型id：0=impactid，1=logicid，2=gfxid	2												
703	17	0	下一击附加伤害	3	8000	FALSE			0|1|2	1		0		0	0	0							0	0	0	0				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE																								
10209	14	1	剑士普攻1段受击	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	HP伤害	-68	死亡时效果	4001												
10210	14	1	枪手击退伤害	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	HP伤害	-33	死亡时效果	4001												
10211	14	1	剑士普攻2段受击	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	HP伤害	-82	死亡时效果	4001												
10212	14	1	莲花击高	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	HP伤害	-145	死亡时效果	4001												
10213	14	1	枪手火球伤害	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	HP伤害	-75	死亡时效果	4001												
10214	14	1	枪手普攻1击高	1	1000	FALSE			0|1|2	1		0		0.1	0	10	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	HP伤害	-145	死亡时效果	4001												
