Id	LogicDataFile	Description	TrueDescription	Icon	ActivateLevel	Passivity	RangeMin	RangeMax	SkillCoefficient	TargetType	TargetSelectType	CD	CastTime	MinusCD	CostHp	CostRage	CostEnergy	CostEnergyCore	CostItemId	BreakType	Category	LevelUpCostType	LevelUpVigorType	LiftSkillId	LiftCostItem	LiftCostItemNum	CanStartWhenStiffness	CanStartWhenHitFly	CanStartWhenKnockDown	NextSkillId	QSkillId	ESkillId	LockInputTime	NextInputTime	TargetChooseRange	ShowName	ShowDescription	ShowAtlasPath	ShowIconName	ShowCD	ShowHitNum	ShowScore	ShowSteps	ShowCostEnergy	ShowDamage	ShowDamagePerLevel	ShowSteps2Dec	ShowSteps3Dec	ShowSteps4Dec
1		翻滚	翻滚		0	0			0	3	4	1			0		0	0	0	10	1									2			0	0.9															
2		剑士裂地斩	裂地斩		1	0			0	2	2	2			0		0	0	0	10	1									3			0	0.6															
3		枪手普攻1			1	0			0	2	2	1			0		0	0	0	10	1									4			0	0.6															
4		剑士普攻1			1	0			0	2	2	1			0		0	0	0	10	1												0	2															
5	test.dsl	枪手火球			1	0			0	2	2	1			0		0	0	0																														
6	test.dsl	剑士普攻2			1	0			0	2	2	1			0		0	0	0																														
7	test.dsl	剑士莲花斩			1	0			0	2	2	1			0		0	0	0																														
8	test.dsl	枪手连发射击			1	0			0	2	2	1			0		0	0	0																														
9	test.dsl	枪手浮空射击			1	0			0	2	2	1			0		0	0	0																														
10	test.dsl	枪手终结射击			1	0			0	2	2	1			0		0	0	0																														
11	test.dsl	剑士跳斩			1	0			0	2	2	1			0		0	0	0																														
12	test.dsl	枪手召唤钢筋			1	0			0	2	2	1			0		0	0	0																														
100	test.dsl	粘贴技能测试			1	0			0	2	2	1			0		0	0	0	30	2																												
#剑士																																																	
110001	jianshi/jianshi_pugong.dsl	剑士普攻1			1	0			0	2	2	1			0		0	0	0	10	1									110002			0	0.9															
110002	jianshi/jianshi_pugong.dsl	剑士普攻2			1	0			0	2	2	1			0		0	0	0	10	1									110003			0	0.8															
110003	jianshi/jianshi_pugong.dsl	剑士普攻3			1	0			0	2	2	1			0		0	0	0	10	1									110004			0	0.8															
110004	jianshi/jianshi_pugong.dsl	剑士普攻4			1	0			0	2	2	1			0		0	0	0	10	1												0	2															
110011	jianshi/jianshi_pugong.dsl	剑士普攻-接近			1	0			0	2	2	1			0		0	0	0	10	11																												
110101	jianshi/jianshi_shanshen.dsl	剑士闪身			1	0			0	2	2	1			0		0	0	0	30	8																												
110201	jianshi/jianshi_jianchong.dsl	剑士剑冲			1	0			0	2	2	2			0		0	0	0	30	3																												
110301	jianshi/jianshi_tiaokong.dsl	剑士挑空			1	0			0	2	2	1			0		0	0	0	30	4									110302				2															
110302	jianshi/jianshi_tiaokong.dsl	剑士空中连击			1	0			0	2	2	1			0		0	0	0	30	4																												
110401	jianshi/jianshi_shenguizhan.dsl	剑士神鬼斩			1	0			0	2	2	1			0		0	0	0	30	5																												
110501	jianshi/jianshi_xulizhongzhan.dsl	剑士蓄力重斩			1	0			0	2	2	1			0		0	0	0	30	2																												
110601		剑士烈刃狂斩			1	0			0	2	2	1			0		0	0	0	30																													
110701	jianshi/jianshi_huoyanbaopo.dsl	剑士火焰爆破			1	0			0	2	2	1			0		0	0	0	30	2																												
110801		剑士火焰拖曳			1	0			0	2	2	1			0		0	0	0	30	3																												
110901		剑士三连突			1	0			0	2	2	1			0		0	0	0	30																													
#刺客																																																	
#    刺客基础技能																																																	
120000	Cike/Cike_Combat2Idle.dsl	从战斗状态切换为非战状态			1	0			0	2	2	1			0		0	0	0	0	12												0	1															
120001	Cike/Cike_Hit_01.dsl	刺客普攻一段			1	0			0	2	2	0.1			0		0	0	0	100	1									120002			0.3	1				UI_AtlasDynamic\skill\skill	attack3										
120002	Cike/Cike_Hit_02.dsl	刺客普攻二段			1	0			0	2	2	0.1			0		0	0	0	100	1									120003			0.3	1				UI_AtlasDynamic\skill\skill	attack3										
120003	Cike/Cike_Hit_03.dsl	刺客普攻三段			1	0			0	2	2	0.1			0		0	0	0	100	1									120004			0.3	1				UI_AtlasDynamic\skill\skill	attack3										
120004	Cike/Cike_Hit_04.dsl	刺客普攻四段			1	0			0	2	2	0.1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack3										
120005	Cike/Cike_BeCool.dsl	刺客扮酷			1	0			0	2	2	1			0		0	0	0	0	13												0	1															
125101	Cike/level04/Cike_Skill06_shadow01.dsl	影袭影子攻击一段			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125102	Cike/level04/Cike_Skill06_shadow02.dsl	影袭影子攻击二段			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125103	Cike/level04/Cike_Skill06_shadow03.dsl	影袭影子攻击三段			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125201	Cike/level04/Cike_Skill08_shadow01.dsl	影子模仿			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125202	Cike/level04/Cike_Skill08_shadow02.dsl	须佐影子攻击二段			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125203	Cike/level04/Cike_Skill08_shadow03.dsl	须佐影子攻击三段			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125301	Cike/level04/Cike_Skill04_shadow01.dsl	瞬身影子1			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125302	Cike/level04/Cike_Skill04_shadow02.dsl	瞬身影子2			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125303	Cike/level04/Cike_Skill04_shadow03.dsl	瞬身影子3			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125304	Cike/level04/Cike_Skill04_shadow04.dsl	瞬身影子4			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125305	Cike/level04/Cike_Skill04_shadow05.dsl	瞬身影子5			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125306	Cike/level04/Cike_Skill04_shadow06.dsl	瞬身影子5			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125401	Cike/level04/Cike_Skill07_shadow01.dsl	瞬狱影杀阵影子桩子			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125402	Cike/level04/Cike_Skill07_shadow02.dsl	瞬狱影杀阵影子1			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125403	Cike/level04/Cike_Skill07_shadow03.dsl	瞬狱影杀阵影子2			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125501	Cike/level04/Cike_Skill11_shadow01.dsl	暗器攻击1			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125502	Cike/level04/Cike_Skill11_shadow02.dsl	暗器攻击2			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125503	Cike/level04/Cike_Skill11_shadow03.dsl	暗器攻击3			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125504	Cike/level04/Cike_Skill11_shadow04.dsl	暗器攻击4			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125505	Cike/level04/Cike_Skill11_shadow05.dsl	暗器攻击5			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125506	Cike/level04/Cike_Skill11_shadow06.dsl	暗器落地攻击			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125511	Cike/level04/Cike_Skill11_shadow11.dsl	大风轮攻击			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
125512	Cike/level04/Cike_Skill11_shadow12.dsl	大风轮攻击2			1	0			0	2	2	1			0		0	0	0	100	1												0.3	1				UI_AtlasDynamic\skill\skill	attack2										
#    刺客特殊技能																																																	
120141	Cike/level04/Cike_Skill01_41.dsl	刃旋			1	0			0	2	2	6			0		7	0	0	11	2									120142			0.6	1		刃旋	旋转切割，被波及到的目标会受到伤害	UI_AtlasDynamic/skill/skill	ck01	6	9		1	7	8	0.32	追加二段，可释放影刃	减少刃旋的CD时间	影刃会对命中的目标施加影伤效果
120142	Cike/level04/Cike_Skill01_42.dsl	影刃			1	0			0	2	2	1			0		0	0	0	11	2												0.3	1.5		影刃		UI_AtlasDynamic/skill/skill	ck01	1			1	0					
120143	Cike/level04/Cike_Skill01_42.dsl	影刃延迟伤害			1	0			0	2	2	1			0		0	0	0	11	2												0.3	1.5		影刃		UI_AtlasDynamic/skill/skill	ck01	1			1	0					
120241	Cike/level04/Cike_Skill02_41.dsl	挑空			1	0			0	2	2	9			0		15	0	0	21	3									120242			0.5	1		挑空	挥刀上挑将身前目标击飞，并照成一定伤害，后续追加攻击，最后一击破霸体	UI_AtlasDynamic/skill/skill	ck02	9	6		1	15	11.2	0.448	上挑后可追加二段飞踢，将目标再次击飞，同时腾空	飞踢后可追加双切和流星	流星会对命中的目标施加影伤效果
120242	Cike/level04/Cike_Skill02_42.dsl	飞踢			1	0			0	2	2	0			0		0	0	0	21	3												0.8	1.6		飞踢		UI_AtlasDynamic/skill/skill	ck02	0			1	0					
120243	Cike/level04/Cike_Skill02_43.dsl	流星			1	0			0	2	2	5			0		0	0	0	21	3												0.6	1		流星		UI_AtlasDynamic/skill/skill	ck02	5			1	0					
120341	Cike/level04/Cike_Skill03_41.dsl	回旋破			3	0			0	2	2	14			0		12	0	0	10	4									120342			0.5	1.5		回旋破	旋转身体垂直上踢，将周围目标击飞，并照成一定伤害	UI_AtlasDynamic/skill/skill	ck03	14	9		1	12	12	0.48	增加回旋破的范围	回旋破后可追加升龙刃，最目标照成对此打击	强化升龙刃，使升龙刃可以获得更多的打击次数
120342	Cike/level04/Cike_Skill03_42.dsl	升龙刃			1	0			0	2	2	0			0		0	0	0	10	4												0.8	1.5		升龙刃		UI_AtlasDynamic/skill/skill	ck03	0			1	0					
120441	Cike/level04/Cike_Skill04_41.dsl	瞬身一段			1	0			0	2	2	4			0		7	0	0	11	5						TRUE	TRUE	TRUE	120442			0.2	1.5		瞬身	向身前瞬身一段距离	UI_AtlasDynamic/skill/skill	ck04	6	4		1	7	1	0.04	减少瞬身术的CD时间	瞬身后可再次追加瞬身二段	进一步减少瞬身术的CD时间
120442	Cike/level04/Cike_Skill04_42.dsl	瞬身二段			1	0			0	2	2	4			0		0	0	0	11	5						TRUE	TRUE	TRUE				0.2	1		瞬身二段		UI_AtlasDynamic/skill/skill	ck04	1			1	0					
120541	Cike/level04/Cike_Skill05_41.dsl	瞬身前斩			20	0			0	2	2	17			0		30	0	0	11	0									120542			0	1		瞬身·斩	瞬身到目标身前进行一次斩击，对目标造成一定伤害和硬直，并破霸体	UI_AtlasDynamic/skill/skill	ck05	17	2		1	30	13	0.864	瞬身前斩后追加瞬身后斩	瞬身后斩可在受击状态下释放	瞬身后斩可破霸体
120542	Cike/level04/Cike_Skill05_42.dsl	瞬身后斩			1	0			0	2	2	0			0		0	0	0	11	0												0	1		瞬身后斩		UI_AtlasDynamic/skill/skill	ck05	0			1	0					
