Level	SkillType_1	SkillType_2	SkillType_3	SkillType_4	SkillType_5	SkillType_6	SkillType_7	SkillType_8	SkillType_9	SkillType_10	Rate	VigorType_1	VigorType_2	VigorType_3	VigorType_4	VigorType_5	VigorType_6	VigorType_7	VigorType_8	VigorType_9	VigorType_10
1	260	334	338	342	342	342	341	341	350	0	0.125	50	50	51	51	51	52	52	52	53	53
2	280	368	376	384	384	384	388	388	400	0	0.0625	52	52	53	53	53	55	55	55	56	56
3	300	402	414	426	426	426	435	435	450	0	0.0416	55	55	56	56	56	57	57	57	58	58
4	320	436	452	468	468	468	482	482	500	0	0.0312	57	57	59	59	59	60	60	60	61	61
5	340	470	490	510	510	510	529	529	550	0	0.025	60	60	61	61	61	63	63	63	64	64
6	360	504	528	552	552	552	576	576	600	0	0.0208	63	63	64	64	64	66	66	66	67	67
7	462	646	677	708	708	708	739	739	770	0	0.0178	66	66	67	67	67	69	69	69	70	70
8	576	806	844	883	883	883	921	921	960	0	0.0156	69	69	70	70	70	72	72	72	73	73
9	702	982	1029	1076	1076	1076	1123	1123	1170	0	0.0138	72	72	73	73	73	75	75	75	76	76
10	840	1176	1232	1288	1288	1288	1344	1344	1400	0	0.0125	75	75	77	77	77	78	78	78	80	80
11	1254	1755	1839	1922	1922	1922	2006	2006	2090	0	0.0113	78	78	80	80	80	82	82	82	83	83
12	1728	2419	2534	2649	2649	2649	2764	2764	2880	0	0.0104	82	82	83	83	83	85	85	85	87	87
13	2262	3166	3317	3468	3468	3468	3619	3619	3770	0	0.0096	85	85	87	87	87	89	89	89	90	90
14	2856	3998	4188	4379	4379	4379	4569	4569	4760	0	0.0089	89	89	90	90	90	92	92	92	94	94
15	3510	4914	5148	5382	5382	5382	5616	5616	5850	0	0.0083	92	92	94	94	94	96	96	96	98	98
16	4224	5913	6195	6476	6476	6476	6758	6758	7040	0	0.0078	96	96	98	98	98	100	100	100	102	102
17	4998	6997	7330	7663	7663	7663	7996	7996	8330	0	0.0073	100	100	102	102	102	104	104	104	106	106
18	5832	8164	8553	8942	8942	8942	9331	9331	9720	0	0.0069	103	103	106	106	106	108	108	108	110	110
19	6726	9416	9864	10313	10313	10313	10761	10761	11210	0	0.0065	107	107	110	110	110	112	112	112	114	114
20	7680	10752	11264	11776	11776	11776	12288	12288	12800	0	0.0062	111	111	114	114	114	116	116	116	118	118
21	8694	12171	12751	13330	13330	13330	13910	13910	14490	0	0.0059	115	115	118	118	118	120	120	120	123	123
22	9768	13675	14326	14977	14977	14977	15628	15628	16280	0	0.0056	119	119	122	122	122	124	124	124	127	127
23	10902	15262	15989	16716	16716	16716	17443	17443	18170	0	0.0054	124	124	126	126	126	129	129	129	131	131
24	12096	16934	17740	18547	18547	18547	19353	19353	20160	0	0.0052	128	128	131	131	131	133	133	133	136	136
25	13350	18690	19580	20470	20470	20470	21360	21360	22250	0	0.005	132	132	135	135	135	138	138	138	141	141
26	14664	20529	21507	22484	22484	22484	23462	23462	24440	0	0.0048	137	137	140	140	140	142	142	142	145	145
27	16038	22453	23522	24591	24591	24591	25660	25660	26730	0	0.0046	141	141	144	144	144	147	147	147	150	150
28	17472	24460	25625	26790	26790	26790	27955	27955	29120	0	0.0044	146	146	149	149	149	152	152	152	155	155
29	18966	26552	27816	29081	29081	29081	30345	30345	31610	0	0.0043	150	150	153	153	153	156	156	156	160	160
30	20520	28728	30096	31464	31464	31464	32832	32832	34200	0	0.0041	155	155	158	158	158	161	161	161	164	164
31	21241	29737	31153	32569	32569	32569	33985	33985	35402	0	0.004	159	159	163	163	163	166	166	166	169	169
32	21964	30750	32215	33679	33679	33679	35143	35143	36608	0	0.0039	164	164	168	168	168	171	171	171	174	174
33	22690	31767	33279	34792	34792	34792	36305	36305	37818	0	0.0037	169	169	172	172	172	176	176	176	179	179
34	23419	32786	34348	35909	35909	35909	37470	37470	39032	0	0.0036	174	174	177	177	177	181	181	181	184	184
35	24150	33810	35420	37030	37030	37030	38640	38640	40250	0	0.0035	178	178	182	182	182	186	186	186	189	189
36	24883	34836	36495	38154	38154	38154	39813	39813	41472	0	0.0034	183	183	187	187	187	191	191	191	194	194
37	25618	35866	37574	39282	39282	39282	40990	40990	42698	0	0.0033	188	188	192	192	192	196	196	196	200	200
38	26356	36899	38656	40413	40413	40413	42170	42170	43928	0	0.0032	193	193	197	197	197	201	201	201	205	205
39	27097	37936	39742	41549	41549	41549	43355	43355	45162	0	0.0032	197	197	201	201	201	206	206	206	210	210
40	27840	38976	40832	42688	42688	42688	44544	44544	46400	0	0.0031	202	202	206	206	206	210	210	210	215	215
41	28560	39984	41888	43792	43792	43792	45696	45696	47601	0	0.003	207	207	211	211	211	215	215	215	220	220
42	29282	40995	42947	44899	44899	44899	46851	46851	48804	0	0.0029	211	211	216	216	216	220	220	220	225	225
43	30005	42007	44007	46008	46008	46008	48008	48008	50009	0	0.0029	216	216	221	221	221	225	225	225	230	230
44	30729	43021	45070	47118	47118	47118	49167	49167	51216	0	0.0028	221	221	225	225	225	230	230	230	235	235
